"1528225","-105.08123973","40.58225652","415","","","","Howes","","","Unit","N302","415 Howes Unit N302","Fort Collins","80521","Larimer"
"1528226","-105.02745475","40.57742561","714","","","","Countryside","","",""," ","714 Countryside ","Fort Collins","80524","Larimer"
"1528227","-105.02740807","40.5772899","716","","","","Countryside","","",""," ","716 Countryside ","Fort Collins","80524","Larimer"
"1528228","-105.02736638","40.57715505","800","","","","Countryside","","",""," ","800 Countryside ","Fort Collins","80524","Larimer"
"1528229","-105.12720218","40.55776133","2218","","","","Yorkshire","","",""," ","2218 Yorkshire ","Fort Collins","80526","Larimer"
"1528230","-105.12716473","40.55795784","2212","","","","Yorkshire","","",""," ","2212 Yorkshire ","Fort Collins","80526","Larimer"
"1528231","-105.12712771","40.55813401","2206","","","","Yorkshire","","",""," ","2206 Yorkshire ","Fort Collins","80526","Larimer"
"1528232","-105.12709149","40.55830639","2200","","","","Yorkshire","","",""," ","2200 Yorkshire ","Fort Collins","80526","Larimer"
"1528233","-105.00741168","40.70054038","3702","","","","Kennedy","","",""," ","3702 Kennedy ","Wellington","80549","Larimer"
"1528234","-105.00717575","40.70053798","3704","","","","Kennedy","","",""," ","3704 Kennedy ","Wellington","80549","Larimer"
"1528235","-105.00693199","40.70053537","3706","","","","Kennedy","","",""," ","3706 Kennedy ","Wellington","80549","Larimer"
"1528236","-104.99369255","40.46695918","8411","","","","Mummy Range","","",""," ","8411 Mummy Range ","Fort Collins","80528","Larimer"
"1528237","-104.99378264","40.46693533","8413","","","","Mummy Range","","",""," ","8413 Mummy Range ","Fort Collins","80528","Larimer"
"1528238","-104.99408736","40.46716522","8406","","","","Copeland","","",""," ","8406 Copeland ","Fort Collins","80528","Larimer"
"1528239","-104.99432838","40.46721156","8405","","","","Copeland","","",""," ","8405 Copeland ","Fort Collins","80528","Larimer"
"1528240","-105.04495606","40.54563742","3100","","","","Regatta","","","Unit","1","3100 Regatta Unit 1","Fort Collins","80525","Larimer"
"1528241","-105.04492495","40.54556572","3100","","","","Regatta","","","Unit","2","3100 Regatta Unit 2","Fort Collins","80525","Larimer"
"1528242","-105.04493965","40.54549845","3100","","","","Regatta","","","Unit","3","3100 Regatta Unit 3","Fort Collins","80525","Larimer"
"1528243","-105.04499569","40.54543137","3100","","","","Regatta","","","Unit","4","3100 Regatta Unit 4","Fort Collins","80525","Larimer"
"1528244","-105.04409108","40.54562941","3100","","","","Anchor","","","Unit","1","3100 Anchor Unit 1","Fort Collins","80525","Larimer"
"1528245","-105.04403677","40.54555984","3100","","","","Anchor","","","Unit","2","3100 Anchor Unit 2","Fort Collins","80525","Larimer"
"1528246","-105.04402278","40.54549376","3100","","","","Anchor","","","Unit","3","3100 Anchor Unit 3","Fort Collins","80525","Larimer"
"1528247","-105.04405728","40.54542164","3100","","","","Anchor","","","Unit","4","3100 Anchor Unit 4","Fort Collins","80525","Larimer"
"1528248","-105.1279404","40.55866865","2806","","","","Morgan","","",""," ","2806 Morgan ","Fort Collins","80526","Larimer"
"1528249","-105.12766876","40.55866947","2800","","","","Morgan","","",""," ","2800 Morgan ","Fort Collins","80526","Larimer"
"1528250","-105.12765655","40.55899872","2719","","","","Stuart","","",""," ","2719 Stuart ","Fort Collins","80526","Larimer"
"1528251","-105.12791742","40.5589981","2725","","","","Stuart","","",""," ","2725 Stuart ","Fort Collins","80526","Larimer"
"1528252","-105.1238738","40.54741834","2911","","","","Moore","","",""," ","2911 Moore ","Fort Collins","80526","Larimer"
"1528253","-105.10355307","40.54435338","3131","","","","Bowie","","",""," ","3131 Bowie ","Fort Collins","80526","Larimer"
"1528254","-105.10355586","40.54417222","3137","","","","Bowie","","",""," ","3137 Bowie ","Fort Collins","80526","Larimer"
"1528255","-105.10355364","40.54396951","3201","","","","Bowie","","",""," ","3201 Bowie ","Fort Collins","80526","Larimer"
"1528256","-105.10352069","40.54376045","3207","","","","Bowie","","",""," ","3207 Bowie ","Fort Collins","80526","Larimer"
"1528257","-105.10341691","40.54358286","3213","","","","Bowie","","",""," ","3213 Bowie ","Fort Collins","80526","Larimer"
"1528258","-105.09324947","40.52541405","4448","","","","Hollyhock","","",""," ","4448 Hollyhock ","Fort Collins","80526","Larimer"
"1528259","-105.09326603","40.52558656","4442","","","","Hollyhock","","",""," ","4442 Hollyhock ","Fort Collins","80526","Larimer"
"1528260","-105.0932653","40.52574027","4436","","","","Hollyhock","","",""," ","4436 Hollyhock ","Fort Collins","80526","Larimer"
"1528261","-105.09326456","40.52589399","4430","","","","Hollyhock","","",""," ","4430 Hollyhock ","Fort Collins","80526","Larimer"
"1528262","-105.09326383","40.52604771","4424","","","","Hollyhock","","",""," ","4424 Hollyhock ","Fort Collins","80526","Larimer"
"1528263","-105.03229725","40.53562672","2425","","","","Kodiak","","",""," ","2425 Kodiak ","Fort Collins","80525","Larimer"
"1528264","-105.0325851","40.5356243","2413","","","","Kodiak","","",""," ","2413 Kodiak ","Fort Collins","80525","Larimer"
"1528265","-105.03283524","40.53558929","2407","","","","Kodiak","","",""," ","2407 Kodiak ","Fort Collins","80525","Larimer"
"1528266","-105.03304823","40.53551515","2401","","","","Kodiak","","",""," ","2401 Kodiak ","Fort Collins","80525","Larimer"
"1528267","-105.03327289","40.53543352","2349","","","","Kodiak","","",""," ","2349 Kodiak ","Fort Collins","80525","Larimer"
"1528268","-105.03350206","40.53535087","2343","","","","Kodiak","","",""," ","2343 Kodiak ","Fort Collins","80525","Larimer"
"1528269","-105.03374029","40.53525872","2337","","","","Kodiak","","",""," ","2337 Kodiak ","Fort Collins","80525","Larimer"
"1528270","-105.03400276","40.53518756","2331","","","","Kodiak","","",""," ","2331 Kodiak ","Fort Collins","80525","Larimer"
