"238151","-104.77920511","39.57465675","7831"," ","South"," ","Ventura","Court"," ",""," ","7831 South Ventura Court ","Centennial Co","80016","Arapahoe"
"238152","-104.77842598","39.57447475","7851"," ","South"," ","Ventura","Court"," ",""," ","7851 South Ventura Court ","Centennial Co","80016","Arapahoe"
"238153","-104.78172693","39.57946119","7535"," ","South"," ","Telluride","Court"," ",""," ","7535 South Telluride Court ","Centennial Co","80016","Arapahoe"
"238154","-104.77795678","39.57372885","7877"," ","South"," ","Zeno","Street"," ",""," ","7877 South Zeno Street ","Centennial Co","80016","Arapahoe"
"238155","-104.77918476","39.57353618","7887"," ","South"," ","Zeno","Street"," ",""," ","7887 South Zeno Street ","Centennial Co","80016","Arapahoe"
"238156","-104.78202469","39.57871298","7575"," ","South"," ","Telluride","Court"," ",""," ","7575 South Telluride Court ","Centennial Co","80016","Arapahoe"
"238157","-104.78048997","39.58099028","17880"," ","East"," ","Hinsdale","Avenue"," ",""," ","17880 East Hinsdale Avenue ","Foxfield Co","80016","Arapahoe"
"238158","-104.77960348","39.58099018","17960"," ","East"," ","Hinsdale","Avenue"," ",""," ","17960 East Hinsdale Avenue ","Foxfield Co","80016","Arapahoe"
"238159","-104.72964427","39.57809085","7648"," ","South"," ","Sicily","Way"," ",""," ","7648 South Sicily Way ","Aurora Co","80016","Arapahoe"
"238160","-104.72958428","39.57797983","7646"," ","South"," ","Sicily","Way"," ",""," ","7646 South Sicily Way ","Aurora Co","80016","Arapahoe"
"238161","-104.72954003","39.57789794","7638"," ","South"," ","Sicily","Way"," ",""," ","7638 South Sicily Way ","Aurora Co","80016","Arapahoe"
"238162","-104.73496926","39.57794602","7597"," ","South"," ","Quatar","Way"," ",""," ","7597 South Quatar Way ","Aurora Co","80016","Arapahoe"
"238163","-104.72948266","39.57779177","7636"," ","South"," ","Sicily","Way"," ",""," ","7636 South Sicily Way ","Aurora Co","80016","Arapahoe"
"238164","-104.73497229","39.57784631","7599"," ","South"," ","Quatar","Way"," ",""," ","7599 South Quatar Way ","Aurora Co","80016","Arapahoe"
"238165","-104.7301761","39.57763646","22118"," ","East"," ","Jamison","Place"," ",""," ","22118 East Jamison Place ","Aurora Co","80016","Arapahoe"
