"1487134","-105.10715379","40.55534368","2408","","","","Constitution","","",""," ","2408 Constitution ","Fort Collins","80526","Larimer"
"1487135","-105.10715124","40.55558242","2404","","","","Constitution","","",""," ","2404 Constitution ","Fort Collins","80526","Larimer"
"1487136","-105.10911083","40.55390651","1800","","","","Yorktown","","",""," ","1800 Yorktown ","Fort Collins","80526","Larimer"
"1487137","-105.10939872","40.55390829","1804","","","","Yorktown","","",""," ","1804 Yorktown ","Fort Collins","80526","Larimer"
"1487138","-105.09766966","40.57165004","1205","","","","Westward","","",""," ","1205 Westward ","Fort Collins","80521","Larimer"
"1487139","-105.09828155","40.57165623","1213","","","","Westward","","",""," ","1213 Westward ","Fort Collins","80521","Larimer"
"1487140","-105.0985695","40.57165914","1217","","","","Westward","","",""," ","1217 Westward ","Fort Collins","80521","Larimer"
"1487141","-105.09886645","40.57166196","1200","","","","Del Mar","","",""," ","1200 Del Mar ","Fort Collins","80521","Larimer"
"1487142","-105.09938124","40.57166734","1201","","","","Del Mar","","",""," ","1201 Del Mar ","Fort Collins","80521","Larimer"
"1487143","-105.0996422","40.57166997","1305","","","","Westward","","",""," ","1305 Westward ","Fort Collins","80521","Larimer"
"1487144","-105.09989415","40.57167252","1309","","","","Westward","","",""," ","1309 Westward ","Fort Collins","80521","Larimer"
"1487145","-105.10013711","40.57167497","1313","","","","Westward","","",""," ","1313 Westward ","Fort Collins","80521","Larimer"
"1487146","-105.10037107","40.57167733","1317","","","","Westward","","",""," ","1317 Westward ","Fort Collins","80521","Larimer"
"1487147","-105.10060502","40.57167969","1321","","","","Westward","","",""," ","1321 Westward ","Fort Collins","80521","Larimer"
"1487148","-105.10060681","40.57137775","1320","","","","Lakewood","","",""," ","1320 Lakewood ","Fort Collins","80521","Larimer"
"1487149","-105.10037285","40.57137539","1316","","","","Lakewood","","",""," ","1316 Lakewood ","Fort Collins","80521","Larimer"
"1487150","-105.1001299","40.57137294","1312","","","","Lakewood","","",""," ","1312 Lakewood ","Fort Collins","80521","Larimer"
"1487151","-105.09988694","40.57137049","1308","","","","Lakewood","","",""," ","1308 Lakewood ","Fort Collins","80521","Larimer"
"1487152","-105.06991486","40.54797799","2916","","","","Stanford","","",""," ","2916 Stanford ","Fort Collins","80525","Larimer"
"1487153","-105.07018749","40.54811041","2912","","","","Stanford","","",""," ","2912 Stanford ","Fort Collins","80525","Larimer"
"1487154","-105.06316975","40.54877719","760","","","","Oxford","","",""," ","760 Oxford ","Fort Collins","80525","Larimer"
"1487155","-105.06263887","40.54877693","800","","","","Oxford","","",""," ","800 Oxford ","Fort Collins","80525","Larimer"
"1487156","-105.062333","40.54877665","804","","","","Oxford","","",""," ","804 Oxford ","Fort Collins","80525","Larimer"
"1487157","-105.06204512","40.54877646","808","","","","Oxford","","",""," ","808 Oxford ","Fort Collins","80525","Larimer"
"1487158","-105.06175725","40.54877627","812","","","","Oxford","","",""," ","812 Oxford ","Fort Collins","80525","Larimer"
"1487159","-105.06146937","40.54877607","816","","","","Oxford","","",""," ","816 Oxford ","Fort Collins","80525","Larimer"
"1487160","-105.06118149","40.54877588","820","","","","Oxford","","",""," ","820 Oxford ","Fort Collins","80525","Larimer"
"1487161","-105.06090261","40.5487757","824","","","","Oxford","","",""," ","824 Oxford ","Fort Collins","80525","Larimer"
"1487162","-105.06063273","40.54877552","900","","","","Oxford","","",""," ","900 Oxford ","Fort Collins","80525","Larimer"
"1487163","-105.06036221","40.54877534","904","","","","Oxford","","",""," ","904 Oxford ","Fort Collins","80525","Larimer"
"1487164","-105.06108233","40.54623679","915","","","","Swallow","","",""," ","915 Swallow ","Fort Collins","80525","Larimer"
"1487165","-105.07970771","40.4402925","228","","","","48Th","","",""," ","228 48Th ","Loveland","80538","Larimer"
