"493054","-107.39858466","37.0380343","38975"," "," ","Cr","500"," ","",""," ","38975 Cr 500 ","Archuleta","","Archuleta"
"493055","-107.40375523","37.04141154","40293"," "," ","Cr","500"," ","",""," ","40293 Cr 500 ","Archuleta","","Archuleta"
"493056","-107.40455212","37.04176216","40381"," "," ","Cr","500"," ","",""," ","40381 Cr 500 ","Archuleta","","Archuleta"
"493057","-107.09214518","37.06043531","17685"," "," ","Cr","500"," ","",""," ","17685 Cr 500 ","Archuleta","","Archuleta"
"493058","-107.40466686","37.07344981","14101"," "," ","St Hwy","151"," ","",""," ","14101 St Hwy 151 ","Archuleta","","Archuleta"
"493059","-107.40265133","37.07699528","13769"," "," ","St Hwy","151"," ","",""," ","13769 St Hwy 151 ","Archuleta","","Archuleta"
"493060","-107.00335856","37.13386778","4290"," "," ","Cr","335"," ","",""," ","4290 Cr 335 ","Archuleta","","Archuleta"
"493061","-107.01700695","37.13432945","196"," "," ","","Morning Rain","Court","",""," ","196 Morning Rain Court ","Archuleta","","Archuleta"
"493062","-107.01876297","37.13451407","344"," "," ","","Morning Rain","Court","",""," ","344 Morning Rain Court ","Archuleta","","Archuleta"
"493063","-107.00329293","37.1359266","4252"," "," ","Cr","335"," ","",""," ","4252 Cr 335 ","Archuleta","","Archuleta"
"493064","-106.92188092","37.14410663","11102"," "," ","Us Hwy","84"," ","",""," ","11102 Us Hwy 84 ","Archuleta","","Archuleta"
"493065","-106.98885769","37.14246698","3320"," "," ","Cr","335"," ","",""," ","3320 Cr 335 ","Archuleta","","Archuleta"
"493066","-106.92179778","37.14499368","11100"," "," ","Us Hwy","84"," ","",""," ","11100 Us Hwy 84 ","Archuleta","","Archuleta"
"493067","-106.93773027","37.14774788","295"," "," ","Cr","339"," ","",""," ","295 Cr 339 ","Archuleta","","Archuleta"
"493068","-106.97138169","37.15155088","2004"," "," ","Cr","335"," ","",""," ","2004 Cr 335 ","Archuleta","","Archuleta"
"493069","-106.95981999","37.15908764","1079"," "," ","Cr","335"," ","",""," ","1079 Cr 335 ","Archuleta","","Archuleta"
"493070","-107.19043586","37.18329479","4270"," "," ","Cr","700"," ","",""," ","4270 Cr 700 ","Archuleta","","Archuleta"
"493071","-106.96478871","37.20736388","300","E"," ","","Squaw Valley","Place","",""," ","300 E Squaw Valley Place ","Archuleta","","Archuleta"
"493072","-106.80715594","37.21154315","8922"," "," ","Cr","326"," ","",""," ","8922 Cr 326 ","Archuleta","","Archuleta"
"493073","-106.8084055","37.21021168","8837"," "," ","Cr","326"," ","",""," ","8837 Cr 326 ","Archuleta","","Archuleta"
"493074","-106.97701598","37.20829904","4504"," "," ","Us Hwy","84"," ","",""," ","4504 Us Hwy 84 ","Archuleta","","Archuleta"
"493075","-107.29596486","37.21269665","18411"," ","West","Us Hwy","160"," ","",""," ","18411 West Us Hwy 160 ","Archuleta","","Archuleta"
"493076","-107.1570853","37.23858128","9974"," ","West","Us Hwy","160"," ","",""," ","9974 West Us Hwy 160 ","Archuleta","","Archuleta"
"493077","-107.33771036","37.22559411","189","A"," ","Cr","166"," ","",""," ","189 A Cr 166 ","Archuleta","","Archuleta"
"493078","-107.1824915","37.23361154","11497"," ","West","Us Hwy","160"," ","",""," ","11497 West Us Hwy 160 ","Archuleta","","Archuleta"
"493079","-107.17957586","37.23358987","11276"," ","West","Us Hwy","160"," ","",""," ","11276 West Us Hwy 160 ","Archuleta","","Archuleta"
"493080","-107.1528962","37.23904459","9766"," ","West","Us Hwy","160"," ","",""," ","9766 West Us Hwy 160 ","Archuleta","","Archuleta"
"493081","-106.7523728","37.24964211","13751"," "," ","Cr","326"," ","",""," ","13751 Cr 326 ","Archuleta","","Archuleta"
