"30423","-104.69395992","37.11804559","8550"," "," "," ","Widow Woman Canyon","Road"," ",""," ","8550 Widow Woman Canyon Road ","","81091","Las Animas"
"30424","-104.57546834","37.11759939","32117"," "," "," ","Saruche Canyon","Road"," ",""," ","32117 Saruche Canyon Road ","","81082","Las Animas"
"30425","-104.69002749","37.11781002","8475"," "," "," ","Widow Woman Canyon","Road"," ",""," ","8475 Widow Woman Canyon Road ","","81082","Las Animas"
"30426","-104.57048722","37.11568631","32788"," "," "," ","Old Sopris","Road"," ",""," ","32788 Old Sopris Road ","","81082","Las Animas"
"30427","-104.69185999","37.11767733","8575"," "," "," ","Widow Woman Canyon","Road"," ",""," ","8575 Widow Woman Canyon Road ","","81082","Las Animas"
"30428","-104.59430595","37.11715379","31130"," "," "," ","Saruche Canyon","Road"," ",""," ","31130 Saruche Canyon Road ","","81082","Las Animas"
"30429","-104.27307766","37.09506708","49402"," "," ","Cr","12.5"," "," ",""," ","49402 Cr 12.5 ","","81081","Las Animas"
"30430","-104.02234143","37.11362209","8821"," "," ","Cr","123.1"," "," ",""," ","8821 Cr 123.1 ","","81081","Las Animas"
"30431","-104.58451782","37.11679763","31602"," "," "," ","Culebra","Trail"," ",""," ","31602 Culebra Trail ","","81082","Las Animas"
"30432","-104.56115017","37.11653992","32900"," "," "," ","Old Sopris","Road"," ",""," ","32900 Old Sopris Road ","","81082","Las Animas"
"30433","-104.68944431","37.2511783","18100"," "," ","Cr","51"," "," ",""," ","18100 Cr 51 ","","80124","Las Animas"
"30434","-104.68297242","37.24533546","17250"," "," ","Cr","51"," "," ",""," ","17250 Cr 51 ","","81082","Las Animas"
"30435","-104.49288113","37.16654606","707"," "," "," ","Baltimore","Avenue"," ",""," ","707 Baltimore Avenue ","","81082","Las Animas"
"30436","-104.49239866","37.16647864","706"," "," "," ","Baltimore","Avenue"," ",""," ","706 Baltimore Avenue ","","81082","Las Animas"
"30437","-104.49242991","37.1663323","708"," "," "," ","Baltimore","Avenue"," ",""," ","708 Baltimore Avenue ","","81082","Las Animas"
"30438","-104.49142335","37.1662108","1219"," ","East"," ","7Th","Street"," ",""," ","1219 East 7Th Street ","","81082","Las Animas"
"30439","-104.49129808","37.16620576","1221"," ","East"," ","7Th","Street"," ",""," ","1221 East 7Th Street ","","81082","Las Animas"
"30440","-104.49197539","37.16619063","1211"," ","East"," ","7Th","Street"," ",""," ","1211 East 7Th Street ","","81082","Las Animas"
"30441","-104.50010973","37.168752","505"," ","East"," ","2Nd","Street"," ",""," ","505 East 2Nd Street ","","81082","Las Animas"
"30442","-104.5009715","37.16933055","430"," ","East"," ","1St","Street"," ",""," ","430 East 1St Street ","","81082","Las Animas"
"30443","-104.49985318","37.16842439","504"," ","East"," ","2Nd","Street"," ",""," ","504 East 2Nd Street ","","81082","Las Animas"
"30444","-104.57428289","37.11584413","8509"," "," "," ","Saruche Canyon","Road"," ",""," ","8509 Saruche Canyon Road ","","81082","Las Animas"
"30445","-104.56588495","37.11648027","32290"," "," "," ","Old Sopris","Road"," ",""," ","32290 Old Sopris Road ","","81082","Las Animas"
"30446","-104.49160941","37.16622995","1215"," ","East"," ","7Th","Street"," ",""," ","1215 East 7Th Street ","","81082","Las Animas"
"30447","-104.50339309","37.16617049","112"," ","East"," ","3Rd","Street"," ",""," ","112 East 3Rd Street ","","81082","Las Animas"
"30448","-104.49472009","37.16588237","1022"," ","East"," ","7Th","Street"," ",""," ","1022 East 7Th Street ","","81082","Las Animas"
"30449","-104.49505172","37.16587251","1012"," ","East"," ","7Th","Street"," ",""," ","1012 East 7Th Street ","","81082","Las Animas"
"30450","-104.49385584","37.16584883","1108"," ","East"," ","7Th","Street"," ",""," ","1108 East 7Th Street ","","81082","Las Animas"
"30451","-104.49245351","37.16585691","800"," "," "," ","Baltimore","Avenue"," ",""," ","800 Baltimore Avenue ","","81082","Las Animas"
"30452","-104.49351916","37.16586491","1116"," ","East"," ","7Th","Street"," ",""," ","1116 East 7Th Street ","","81082","Las Animas"
"30453","-104.49196431","37.16584805","1214"," ","East"," ","7Th","Street"," ",""," ","1214 East 7Th Street ","","81082","Las Animas"
"30454","-104.49181632","37.16584479","1216"," ","East"," ","7Th","Street"," ",""," ","1216 East 7Th Street ","","81082","Las Animas"
"30455","-104.49297224","37.16576448","803"," "," "," ","Baltimore","Avenue"," ",""," ","803 Baltimore Avenue ","","81082","Las Animas"
"30456","-104.49550837","37.16534983","1012"," ","East"," ","8Th","Street"," ",""," ","1012 East 8Th Street ","","81082","Las Animas"
"30457","-104.4929225","37.1656223","807"," "," "," ","Baltimore","Avenue"," ",""," ","807 Baltimore Avenue ","","81082","Las Animas"
"30458","-104.49245515","37.16561128","810"," "," "," ","Baltimore","Avenue"," ",""," ","810 Baltimore Avenue ","","81082","Las Animas"
"30459","-104.49135678","37.1657214","1228"," ","East"," ","7Th","Street"," ",""," ","1228 East 7Th Street ","","81082","Las Animas"
"30460","-104.54628169","37.11638099","33760"," "," "," ","Fishers View","Trail"," ",""," ","33760 Fishers View Trail ","","81082","Las Animas"
"30461","-104.58585221","37.11345013","31220"," "," "," ","Ponderosa","Trail"," ",""," ","31220 Ponderosa Trail ","","81082","Las Animas"
"30462","-104.54383264","37.11608998","33905"," "," "," ","Fishers View","Trail"," ",""," ","33905 Fishers View Trail ","","81082","Las Animas"
"30463","-104.49701559","37.14233951","2608"," "," "," ","Monte Vista","Road"," ",""," ","2608 Monte Vista Road ","","81082","Las Animas"
"30464","-104.49773674","37.14251711","2607"," "," "," ","Monte Vista","Road"," ",""," ","2607 Monte Vista Road ","","81082","Las Animas"
"30465","-104.49699185","37.14190784","2610"," "," "," ","Monte Vista","Road"," ",""," ","2610 Monte Vista Road ","","81082","Las Animas"
"30466","-104.49666948","37.14555326","409"," "," "," ","Memory","Lane"," ",""," ","409 Memory Lane ","","81082","Las Animas"
"30467","-104.49245552","37.16555494","812"," "," "," ","Baltimore","Avenue"," ",""," ","812 Baltimore Avenue ","","81082","Las Animas"
"30468","-104.49292332","37.16550061","809"," "," "," ","Baltimore","Avenue"," ",""," ","809 Baltimore Avenue ","","81082","Las Animas"
"30469","-104.49246984","37.16542915","816"," "," "," ","Baltimore","Avenue"," ",""," ","816 Baltimore Avenue ","","81082","Las Animas"
"30470","-104.49216611","37.16535765","1209"," ","East"," ","8Th","Street"," ",""," ","1209 East 8Th Street ","","81082","Las Animas"
"30471","-104.49709657","37.1429076","2606"," "," "," ","Monte Vista","Road"," ",""," ","2606 Monte Vista Road ","","81082","Las Animas"
"30472","-104.58086907","37.11533125","31754"," "," "," ","Culebra","Trail"," ",""," ","31754 Culebra Trail ","","81082","Las Animas"
"30473","-104.01623357","37.10851543","8501"," "," ","Cr","123.2"," "," ",""," ","8501 Cr 123.2 ","","81081","Las Animas"
"30474","-104.4988593","37.1437838","400"," "," "," ","Memory","Lane"," ",""," ","400 Memory Lane ","","81082","Las Animas"
"30475","-104.49955377","37.14628824","2403"," "," "," ","Desperado","Drive"," ",""," ","2403 Desperado Drive ","","81082","Las Animas"
"30476","-104.49964411","37.1457669","2405"," "," "," ","Desperado","Drive"," ",""," ","2405 Desperado Drive ","","81082","Las Animas"
"30477","-104.49935503","37.14493496","2509"," "," "," ","Desperado","Drive"," ",""," ","2509 Desperado Drive ","","81082","Las Animas"
"30478","-104.49875202","37.14610078","2404"," "," "," ","Desperado","Drive"," ",""," ","2404 Desperado Drive ","","81082","Las Animas"
"30479","-104.49886044","37.14272657","2608"," "," "," ","Desperado","Drive"," ",""," ","2608 Desperado Drive ","","81082","Las Animas"
"30480","-104.49934526","37.14451281","2511"," "," "," ","Desperado","Drive"," ",""," ","2511 Desperado Drive ","","81082","Las Animas"
"30481","-104.49880059","37.14466364","2508"," "," "," ","Desperado","Drive"," ",""," ","2508 Desperado Drive ","","81082","Las Animas"
"30482","-104.49880286","37.1442638","2512"," "," "," ","Desperado","Drive"," ",""," ","2512 Desperado Drive ","","81082","Las Animas"
"30483","-104.49935579","37.14290822","2607"," "," "," ","Desperado","Drive"," ",""," ","2607 Desperado Drive ","","81082","Las Animas"
"30484","-104.49882936","37.14320514","2604"," "," "," ","Desperado","Drive"," ",""," ","2604 Desperado Drive ","","81082","Las Animas"
"30485","-104.49883675","37.139387","2806"," "," "," ","Desperado","Drive"," ",""," ","2806 Desperado Drive ","","81082","Las Animas"
"30486","-104.49881994","37.14298786","2606"," "," "," ","Desperado","Drive"," ",""," ","2606 Desperado Drive ","","81082","Las Animas"
"30487","-104.49886134","37.14219837","2612"," "," "," ","Desperado","Drive"," ",""," ","2612 Desperado Drive ","","81082","Las Animas"
"30488","-104.49887342","37.14244777","2610"," "," "," ","Desperado","Drive"," ",""," ","2610 Desperado Drive ","","81082","Las Animas"
"30489","-104.49936619","37.14202746","2613"," "," "," ","Desperado","Drive"," ",""," ","2613 Desperado Drive ","","81082","Las Animas"
"30490","-104.4994025","37.14230915","2611"," "," "," ","Desperado","Drive"," ",""," ","2611 Desperado Drive ","","81082","Las Animas"
"30491","-104.49883739","37.14194607","2614"," "," "," ","Desperado","Drive"," ",""," ","2614 Desperado Drive ","","81082","Las Animas"
"30492","-104.49935319","37.14322938","2605"," "," "," ","Desperado","Drive"," ",""," ","2605 Desperado Drive ","","81082","Las Animas"
"30493","-104.54439491","37.11398511","33850"," "," "," ","Fishers View","Trail"," ",""," ","33850 Fishers View Trail ","","81082","Las Animas"
"30494","-104.68691039","37.11557497","8375"," "," "," ","Widow Woman Canyon","Road"," ",""," ","8375 Widow Woman Canyon Road ","","81082","Las Animas"
"30495","-104.49935472","37.14265429","2609"," "," "," ","Desperado","Drive"," ",""," ","2609 Desperado Drive ","","81082","Las Animas"
"30496","-104.4988191","37.14351112","2602"," "," "," ","Desperado","Drive"," ",""," ","2602 Desperado Drive ","","81082","Las Animas"
"30497","-104.49935435","37.14347615","2603"," "," "," ","Desperado","Drive"," ",""," ","2603 Desperado Drive ","","81082","Las Animas"
"30498","-104.68908615","37.11489145","8350"," "," "," ","Widow Woman Canyon","Road"," ",""," ","8350 Widow Woman Canyon Road ","","81091","Las Animas"
"30499","-104.63779733","37.11180776","8500"," "," "," ","Madrid Canyon","Road"," ",""," ","8500 Madrid Canyon Road ","","81091","Las Animas"
