"2029107","-105.96346488","37.26004589","18796","","","Hwy","Highway 285","","","","","18796 Highway 285 ","LA JARA","81140","Conejos"
"2029108","-105.93052232","37.26040053","18495","","","Co Rd","County Road 18 ","","","","","18495 County Road 18 ","SANFORD","81151","Conejos"
"2029109","-105.96320042","37.26087225","18798","","","Hwy","Highway 285","","","","","18798 Highway 285 ","LA JARA","81140","Conejos"
"2029110","-105.9099857","37.2616321","18551","","","Co Rd","County Road 19 ","","","","","18551 County Road 19 ","SANFORD","81151","Conejos"
"2029111","-105.93278083","37.26177618","18499","","","Co Rd","County Road 18 ","","","","","18499 County Road 18 ","SANFORD","81151","Conejos"
"2029112","-106.04781188","37.26099298","18501","","","Co Rd","County Road 11.5 ","","","","","18501 County Road 11.5 ","LA JARA","81140","Conejos"
"2029113","-105.89119707","37.26232512","18528","","","Co Rd","County Road 20 ","","","","","18528 County Road 20 ","SANFORD","81151","Conejos"
"2029114","-106.03742948","37.26132273","12002","","","Co Rd","County Road 12 ","","","","","12002 County Road 12 ","LA JARA","81140","Conejos"
"2029115","-105.94499014","37.26217691","18556","","","Co Rd","County Road 17 ","","","","","18556 County Road 17 ","LA JARA","81140","Conejos"
"2029116","-106.03733461","37.26160657","12004","","","Co Rd","County Road 12 ","","","","","12004 County Road 12 ","LA JARA","81140","Conejos"
"2029117","-105.92736676","37.26258144","18658","","","Co Rd","County Road 18 ","","","","","18658 County Road 18 ","SANFORD","81151","Conejos"
"2029118","-105.96678519","37.26229933","19019","","","Hwy","Highway 285","","","","","19019 Highway 285 ","LA JARA","81140","Conejos"
"2029119","-105.9666683","37.2628975","19021","","","Hwy","Highway 285","","","","","19021 Highway 285 ","LA JARA","81140","Conejos"
"2029120","-105.74582142","37.26465692","18798","","","Co Rd","County Road 28 ","","","","","18798 County Road 28 ","SANFORD","81151","Conejos"
"2029121","-105.89144928","37.26428073","18667","","","Co Rd","County Road 20 ","","","","","18667 County Road 20 ","SANFORD","81151","Conejos"
"2029122","-105.96630617","37.26379623","19053","","","Hwy","Highway 285","","","","","19053 Highway 285 ","LA JARA","81140","Conejos"
"2029123","-105.92738732","37.26426025","18700","","","Co Rd","County Road 18 ","","","","","18700 County Road 18 ","SANFORD","81151","Conejos"
"2029124","-105.89093733","37.26463924","18771","","","Co Rd","County Road 20 ","","","","","18771 County Road 20 ","SANFORD","81151","Conejos"
"2029125","-105.74539889","37.2657618","18828","","","Co Rd","County Road 28 ","","","","","18828 County Road 28 ","SANFORD","81151","Conejos"
"2029126","-105.83090023","37.26588265","23497","","","Co Rd","County Road W ","","","","","23497 County Road W ","SANFORD","81151","Conejos"
"2029127","-105.74746425","37.26666428","18877","","","Co Rd","County Road 28 ","","","","","18877 County Road 28 ","SANFORD","81151","Conejos"
"2029128","-105.96570259","37.26529416","19228","","","Hwy","Highway 285","","","","","19228 Highway 285 ","LA JARA","81140","Conejos"
"2029129","-105.74530744","37.26739852","18898","","","Co Rd","County Road 28 ","","","","","18898 County Road 28 ","SANFORD","81151","Conejos"
"2029130","-105.77903314","37.2676135","26514","","","Co Rd","County Road W ","","","","","26514 County Road W ","SANFORD","81151","Conejos"
"2029131","-105.98283623","37.26614742","18882","","","Co Rd","County Road 15 ","","","","","18882 County Road 15 ","LA JARA","81140","Conejos"
"2029132","-105.96534424","37.26649146","19275","","","Hwy","Highway 285","","","","","19275 Highway 285 ","LA JARA","81140","Conejos"
"2029133","-105.91001625","37.2671062","18850","","","Co Rd","County Road 19 ","","","","","18850 County Road 19 ","SANFORD","81151","Conejos"
"2029134","-105.89124557","37.26725098","19000","","","Co Rd","County Road 20 ","","","","","19000 County Road 20 ","SANFORD","81151","Conejos"
"2029135","-105.74730242","37.26853891","18899","","","Co Rd","County Road 27 ","","","","","18899 County Road 27 ","SANFORD","81151","Conejos"
"2029136","-105.92296226","37.26737397","18352",""," ","Hwy","Hwy 136"," "," "," "," ","18352 Hwy 136 ","SANFORD"," ","Conejos"
"2029137","-105.91982137","37.26773685","18460",""," ","Hwy","Hwy 136"," "," "," "," ","18460 Hwy 136 ","SANFORD"," ","Conejos"
"2029138","-105.92742968","37.26771658","18998","","","Co Rd","County Road 18 ","","","","","18998 County Road 18 ","SANFORD","81151","Conejos"
"2029139","-105.92234782","37.26785814","18358",""," ","Hwy","Hwy 136"," "," "," "," ","18358 Hwy 136 ","SANFORD"," ","Conejos"
"2029140","-105.92307549","37.26792046","18350",""," ","Hwy","Hwy 136"," "," "," "," ","18350 Hwy 136 ","SANFORD"," ","Conejos"
"2029141","-105.92151137","37.26801362","18532",""," ","Hwy","Hwy 136"," "," "," "," ","18532 Hwy 136 ","SANFORD"," ","Conejos"
"2029142","-105.96465183","37.26772517","19279","","","Hwy","Highway 285","","","","","19279 Highway 285 ","LA JARA","81140","Conejos"
"2029143","-105.90532834","37.26843382","19394","","","Co Rd","County Road W ","","","","","19394 County Road W ","SANFORD","81151","Conejos"
"2029144","-105.90796136","37.26847077","19390",""," ","Hwy","Hwy 136"," "," "," "," ","19390 Hwy 136 ","SANFORD"," ","Conejos"
"2029145","-105.76465612","37.26961585","19004","","","Co Rd","County Road 27 ","","","","","19004 County Road 27 ","SANFORD","81151","Conejos"
"2029146","-106.04731701","37.26748454","18801","","","Co Rd","County Road 11.5 ","","","","","18801 County Road 11.5 ","LA JARA","81140","Conejos"
"2029147","-105.95137927","37.26851554","16637","","","Hwy","Highway 136","","","","","16637 Highway 136 ","LA JARA","81140","Conejos"
"2029148","-105.95018713","37.26853512","16645","","","Hwy","Highway 136","","","","","16645 Highway 136 ","LA JARA","81140","Conejos"
"2029149","-105.95495973","37.26850967","16555","","","Hwy","Highway 136","","","","","16555 Highway 136 ","LA JARA","81140","Conejos"
"2029150","-105.95342948","37.26852201","16619","","","Hwy","Highway 136","","","","","16619 Highway 136 ","LA JARA","81140","Conejos"
"2029151","-105.95291941","37.26852612","16621","","","Hwy","Highway 136","","","","","16621 Highway 136 ","LA JARA","81140","Conejos"
"2029152","-105.95240933","37.26853023","16623","","","Hwy","Highway 136","","","","","16623 Highway 136 ","LA JARA","81140","Conejos"
"2029153","-106.00372507","37.26816259","13998","","","Co Rd","County Road W ","","","","","13998 County Road W ","LA JARA","81140","Conejos"
"2029154","-105.9972495","37.26821736","14412","","","Co Rd","County Road W ","","","","","14412 County Road W ","LA JARA","81140","Conejos"
"2029155","-105.92517631","37.2689476","18315",""," ","Hwy","Hwy 136"," "," "," "," ","18315 Hwy 136 ","SANFORD"," ","Conejos"
"2029156","-105.91452361","37.26907156","18249","","","Hwy","Highway 136","","","","","18249 Highway 136 ","SANFORD","81151","Conejos"
"2029157","-105.91090549","37.26911373","210","","","","Main","Street","","","","210 Main Street ","SANFORD","81151","Conejos"
"2029158","-105.92744496","37.26898585","18272",""," ","Hwy","Hwy 136"," "," "," "," ","18272 Hwy 136 ","SANFORD"," ","Conejos"
"2029159","-105.90859219","37.26918566","19012","","","Co Rd","19 ","","","","","19012 19 ","SANFORD","81151","Conejos"
"2029160","-105.92132227","37.2690898","18355",""," ","Hwy","Hwy 136"," "," "," "," ","18355 Hwy 136 ","SANFORD"," ","Conejos"
"2029161","-105.92194354","37.26913869","18353",""," ","Hwy","Hwy 136"," "," "," "," ","18353 Hwy 136 ","SANFORD"," ","Conejos"
"2029162","-106.03918305","37.26821612","12010","","","Co Rd","County Road 12 ","","","","","12010 County Road 12 ","LA JARA","81140","Conejos"
"2029163","-105.89062779","37.26948091","20750","","","Co Rd","County Road W.5 ","","","","","20750 County Road W.5 ","SANFORD","81151","Conejos"
"2029164","-105.75832281","37.27048647","27195","","","Co Rd","County Road W ","","","","","27195 County Road W ","SANFORD","81151","Conejos"
"2029165","-106.06074219","37.26826803","18950","","","Co Rd","County Road 10.75 ","","","","","18950 County Road 10.75 ","LA JARA","81140","Conejos"
