"2060067","-104.85751437","38.85520132","2521"," ","","","King","Street","","","A","2521 King Street A","Colorado Springs","80904","ElPaso"
"2060068","-104.8574956","38.85525413","2521"," ","","","King","Street","","","B","2521 King Street B","Colorado Springs","80904","ElPaso"
"2060069","-104.85717027","38.85531163","2501"," ","","","King","Street","","","A","2501 King Street A","Colorado Springs","80904","ElPaso"
"2060070","-104.85717445","38.85525445","2501"," ","","","King","Street","","","B","2501 King Street B","Colorado Springs","80904","ElPaso"
"2060071","-104.85750762","38.85477298","2517"," ","","","King","Street","","","A","2517 King Street A","Colorado Springs","80904","ElPaso"
"2060072","-104.80752401","38.77858482","3610"," ","","","Strawberry Field","Grove","","UNIT","C","3610 Strawberry Field Grove UNIT C","Colorado Springs","80906","ElPaso"
"2060073","-104.80802617","38.77845274","3630"," ","","","Strawberry Field","Grove","","UNIT","B","3630 Strawberry Field Grove UNIT B","Colorado Springs","80906","ElPaso"
"2060074","-104.80787821","38.77848166","3630"," ","","","Strawberry Field","Grove","","UNIT","C","3630 Strawberry Field Grove UNIT C","Colorado Springs","80906","ElPaso"
"2060075","-104.80734467","38.77812139","3625"," ","","","Strawberry Field","Grove","","UNIT","B","3625 Strawberry Field Grove UNIT B","Colorado Springs","80906","ElPaso"
"2060076","-104.80742393","38.77811233","3625"," ","","","Strawberry Field","Grove","","UNIT","C","3625 Strawberry Field Grove UNIT C","Colorado Springs","80906","ElPaso"
"2060077","-104.80758457","38.77777306","3645"," ","","","Strawberry Field","Grove","","UNIT","C","3645 Strawberry Field Grove UNIT C","Colorado Springs","80906","ElPaso"
"2060078","-104.80763004","38.77779479","3645"," ","","","Strawberry Field","Grove","","UNIT","D","3645 Strawberry Field Grove UNIT D","Colorado Springs","80906","ElPaso"
"2060079","-104.8079309","38.77753787","3665"," ","","","Strawberry Field","Grove","","UNIT","C","3665 Strawberry Field Grove UNIT C","Colorado Springs","80906","ElPaso"
"2060080","-104.80802376","38.77753842","3665"," ","","","Strawberry Field","Grove","","UNIT","D","3665 Strawberry Field Grove UNIT D","Colorado Springs","80906","ElPaso"
"2060081","-104.80851363","38.77771753","3650"," ","","","Strawberry Field","Grove","","UNIT","C","3650 Strawberry Field Grove UNIT C","Colorado Springs","80906","ElPaso"
"2060082","-104.80855136","38.777595","3650"," ","","","Strawberry Field","Grove","","UNIT","B","3650 Strawberry Field Grove UNIT B","Colorado Springs","80906","ElPaso"
"2060083","-104.80844184","38.77716689","3670"," ","","","Strawberry Field","Grove","","UNIT","B","3670 Strawberry Field Grove UNIT B","Colorado Springs","80906","ElPaso"
"2060084","-104.80848385","38.77723031","3670"," ","","","Strawberry Field","Grove","","UNIT","C","3670 Strawberry Field Grove UNIT C","Colorado Springs","80906","ElPaso"
"2060085","-104.80795563","38.77727404","3695"," ","","","Strawberry Field","Grove","","UNIT","B","3695 Strawberry Field Grove UNIT B","Colorado Springs","80906","ElPaso"
"2060086","-104.80790988","38.77728211","3695"," ","","","Strawberry Field","Grove","","UNIT","C","3695 Strawberry Field Grove UNIT C","Colorado Springs","80906","ElPaso"
"2060087","-104.80835798","38.77683537","3690"," ","","","Strawberry Field","Grove","","UNIT","F","3690 Strawberry Field Grove UNIT F","Colorado Springs","80906","ElPaso"
"2060088","-104.80839778","38.77681297","3690"," ","","","Strawberry Field","Grove","","UNIT","G","3690 Strawberry Field Grove UNIT G","Colorado Springs","80906","ElPaso"
"2060089","-104.80793985","38.77670517","3710"," ","","","Strawberry Field","Grove","","UNIT","F","3710 Strawberry Field Grove UNIT F","Colorado Springs","80906","ElPaso"
"2060090","-104.80795387","38.77667307","3710"," ","","","Strawberry Field","Grove","","UNIT","G","3710 Strawberry Field Grove UNIT G","Colorado Springs","80906","ElPaso"
"2060091","-104.80749098","38.77703269","3715"," ","","","Strawberry Field","Grove","","UNIT","H","3715 Strawberry Field Grove UNIT H","Colorado Springs","80906","ElPaso"
"2060092","-104.86096606","38.85529358","2725"," ","","","King","Street","","","B","2725 King Street B","Colorado Springs","80904","ElPaso"
"2060093","-104.86190174","38.8554959","2801"," ","","","King","Street","","","A","2801 King Street A","Colorado Springs","80904","ElPaso"
"2060094","-104.86186223","38.85548257","2801"," ","","","King","Street","","","C","2801 King Street C","Colorado Springs","80904","ElPaso"
"2060095","-104.8626819","38.85603053","2817"," ","","","King","Street","","","D","2817 King Street D","Colorado Springs","80904","ElPaso"
"2060096","-104.85838173","38.85523644","2605"," ","","","King","Street","","","1","2605 King Street 1","Colorado Springs","80904","ElPaso"
"2060097","-104.85850167","38.85518752","2605"," ","","","King","Street","","","4","2605 King Street 4","Colorado Springs","80904","ElPaso"
"2060098","-104.85837723","38.85519446","2605"," ","","","King","Street","","","3","2605 King Street 3","Colorado Springs","80904","ElPaso"
"2060099","-104.85884597","38.85521409","2615"," ","","","King","Street","","","D","2615 King Street D","Colorado Springs","80904","ElPaso"
"2060100","-104.80761217","38.77709479","3715"," ","","","Strawberry Field","Grove","","UNIT","G","3715 Strawberry Field Grove UNIT G","Colorado Springs","80906","ElPaso"
"2060101","-104.80741299","38.77659902","3730"," ","","","Strawberry Field","Grove","","UNIT","A","3730 Strawberry Field Grove UNIT A","Colorado Springs","80906","ElPaso"
"2060102","-104.80736174","38.7766092","3730"," ","","","Strawberry Field","Grove","","UNIT","E","3730 Strawberry Field Grove UNIT E","Colorado Springs","80906","ElPaso"
"2060103","-104.80694604","38.7765408","3750"," ","","","Strawberry Field","Grove","","UNIT","D","3750 Strawberry Field Grove UNIT D","Colorado Springs","80906","ElPaso"
"2060104","-104.8069407","38.7765894","3750"," ","","","Strawberry Field","Grove","","UNIT","E","3750 Strawberry Field Grove UNIT E","Colorado Springs","80906","ElPaso"
"2060105","-104.80652404","38.77700507","3770"," ","","","Strawberry Field","Grove","","UNIT","E","3770 Strawberry Field Grove UNIT E","Colorado Springs","80906","ElPaso"
"2060106","-104.80643693","38.77694449","3770"," ","","","Strawberry Field","Grove","","UNIT","F","3770 Strawberry Field Grove UNIT F","Colorado Springs","80906","ElPaso"
"2060107","-104.80716432","38.77694839","3735"," ","","","Strawberry Field","Grove","","UNIT","E","3735 Strawberry Field Grove UNIT E","Colorado Springs","80906","ElPaso"
"2060108","-104.80720918","38.77696963","3735"," ","","","Strawberry Field","Grove","","UNIT","F","3735 Strawberry Field Grove UNIT F","Colorado Springs","80906","ElPaso"
"2060109","-104.80638429","38.77716113","3790"," ","","","Strawberry Field","Grove","","UNIT","E","3790 Strawberry Field Grove UNIT E","Colorado Springs","80906","ElPaso"
"2060110","-104.80844364","38.77771235","3650"," ","","","Strawberry Field","Grove","","UNIT","D","3650 Strawberry Field Grove UNIT D","Colorado Springs","80906","ElPaso"
"2060111","-104.8083742","38.77723323","3670"," ","","","Strawberry Field","Grove","","UNIT","D","3670 Strawberry Field Grove UNIT D","Colorado Springs","80906","ElPaso"
