"2336210","2902724.01341","1329781.8599","82",""," ","Co Rd","County Road 4661","Road"," ","","","82 County Road 4661 Road ","","80447","Grand"
"2336211","2900722.95179","1335914.69564","82",""," ","Co Rd","County Road 4983","Place"," ","","","82 County Road 4983 Place ","","80447","Grand"
"2336212","2901403.57043","1335646.16553","82",""," ","Co Rd","County Road 4984","Drive"," ","","","82 County Road 4984 Drive ","","80447","Grand"
"2336213","2927557.6508","1203767.24763","82",""," ","","Dreamcatcher South"," "," ","","","82 Dreamcatcher South ","","80482","Grand"
"2336214","2926035.42118","1204176.09592","82",""," ","","Trademark","Drive"," ","","","82 Trademark Drive ","","80482","Grand"
"2336215","2902736.18769","1335592.86698","820",""," ","Co Rd","County Road 4980","Road"," ","","","820 County Road 4980 Road ","","80447","Grand"
"2336216","2913221.62993","1224651.32791","820",""," ","","Ermine","Lane"," ","","","820 Ermine Lane ","","80442","Grand"
"2336217","2913222.06426","1224641.86551","820",""," ","","Ermine","Lane"," ","","","820 Ermine Lane ","","80442","Grand"
"2336218","2913222.06426","1224641.86551","820",""," ","","Ermine","Lane"," ","","","820 Ermine Lane ","","80442","Grand"
"2336219","2913222.06426","1224641.86551","820",""," ","","Ermine","Lane"," ","","","820 Ermine Lane ","","80442","Grand"
"2336220","2913222.06426","1224641.86551","820",""," ","","Ermine","Lane"," ","","","820 Ermine Lane ","","80442","Grand"
"2336221","2913302.80694","1224429.58327","820",""," ","","Ferret","Lane"," ","","","820 Ferret Lane ","","80442","Grand"
"2336222","2913176.14446","1224872.61913","820",""," ","","Mink","Lane"," ","","","820 Mink Lane ","","80442","Grand"
"2336223","2912926.55867","1225255.1141","820",""," ","","Wapiti","Drive"," ","","","820 Wapiti Drive ","","80442","Grand"
"2336224","2913198.55911","1225092.41101","820",""," ","","Wolverine","Lane"," ","","","820 Wolverine Lane ","","80442","Grand"
"2336225","2913199.1003","1225083.00452","820",""," ","","Wolverine","Lane"," ","","","820 Wolverine Lane ","","80442","Grand"
"2336226","2913199.1003","1225083.00452","820",""," ","","Wolverine","Lane"," ","","","820 Wolverine Lane ","","80442","Grand"
"2336227","2913336.80949","1225307.20061","820, 822",""," ","","Badger","Lane"," ","","","820, 822 Badger Lane ","","80442","Grand"
"2336228","2887881.44328","1260833.81617","8201",""," ","","Northar"," "," ","","","8201 Northar ","","80446","Grand"
"2336229","2887881.44328","1260833.81617","8202",""," ","","Northar"," "," ","","","8202 Northar ","","80446","Grand"
"2336230","2887881.44328","1260833.81617","8203",""," ","","Northar"," "," ","","","8203 Northar ","","80446","Grand"
"2336231","2887881.44328","1260833.81617","8204",""," ","","Northar"," "," ","","","8204 Northar ","","80446","Grand"
"2336232","2887881.44328","1260833.81617","8205",""," ","","Northar"," "," ","","","8205 Northar ","","80446","Grand"
"2336233","2913369.97073","1225425.1015","821",""," ","","Badger","Lane"," ","","","821 Badger Lane ","","80442","Grand"
"2336234","2913369.97073","1225425.1015","821",""," ","","Badger","Lane"," ","","","821 Badger Lane ","","80442","Grand"
"2336235","2913371.37471","1225433.52188","821",""," ","","Badger","Lane"," ","","","821 Badger Lane ","","80442","Grand"
"2336236","2913202.60865","1224781.52023","821",""," ","","Ermine","Lane"," ","","","821 Ermine Lane ","","80442","Grand"
"2336237","2913284.86636","1224554.52889","821",""," ","","Ferret","Lane"," ","","","821 Ferret Lane ","","80442","Grand"
"2336238","2913197.66607","1224988.24521","821",""," ","","Mink","Lane"," ","","","821 Mink Lane ","","80442","Grand"
"2336239","2913210.40286","1224987.46458","821",""," ","","Mink","Lane"," ","","","821 Mink Lane ","","80442","Grand"
"2336240","2910334.69439","1335552.71351","821",""," ","","Mountain","Avenue"," ","","","821 Mountain Avenue ","","80447","Grand"
"2336241","2912015.55513","1225331.62031","821",""," ","","Quail","Drive"," ","","","821 Quail Drive ","","80442","Grand"
"2336242","2913195.67362","1225214.9403","821",""," ","","Wolverine","Lane"," ","","","821 Wolverine Lane ","","80442","Grand"
"2336243","2913196.11617","1225205.63668","821",""," ","","Wolverine","Lane"," ","","","821 Wolverine Lane ","","80442","Grand"
"2336244","2913196.11617","1225205.63668","821",""," ","","Wolverine","Lane"," ","","","821 Wolverine Lane ","","80442","Grand"
"2336245","2913196.11617","1225205.63668","821",""," ","","Wolverine","Lane"," ","","","821 Wolverine Lane ","","80442","Grand"
"2336246","2908435.26138","1333050.12795","821, 827",""," ","","Chipmunk","Lane"," ","","","821, 827 Chipmunk Lane ","","80447","Grand"
"2336247","2913337.26421","1225298.34654","822",""," ","","Badger","Lane"," ","","","822 Badger Lane ","","80442","Grand"
"2336248","2909921.22955","1334337.06943","822",""," ","","Lake","Avenue"," ","","","822 Lake Avenue ","","80447","Grand"
"2336249","2890719.57764","1315161.4358","823",""," ","Co Rd","County Road 4","Road"," ","","","823 County Road 4 Road ","","80447","Grand"
"2336250","2918107.02247","1225182.91151","823",""," ","Co Rd","County Road 830","Street"," ","","","823 County Road 830 Street ","","80482","Grand"
"2336251","2918148.50481","1225188.05898","823",""," ","Co Rd","County Road 830","Street"," ","","","823 County Road 830 Street ","","80482","Grand"
"2336252","2918162.60376","1225084.62305","823",""," ","Co Rd","County Road 830","Street"," ","","","823 County Road 830 Street ","","80482","Grand"
"2336253","2918202.87811","1225087.34843","823",""," ","Co Rd","County Road 830","Street"," ","","","823 County Road 830 Street ","","80482","Grand"
"2336254","2910093.55076","1334706.83978","824",""," ","","Grand","Avenue"," ","","","824 Grand Avenue ","","80447","Grand"
"2336255","2910305.83087","1335332.1938","824",""," ","","Mountain","Avenue"," ","","","824 Mountain Avenue ","","80447","Grand"
"2336256","2912898.88288","1225188.89934","824",""," ","","Wapiti","Drive"," ","","","824 Wapiti Drive ","","80442","Grand"
"2336257","2908720.56077","1332880.75612","825",""," ","","Cairns","Avenue"," ","","","825 Cairns Avenue ","","80447","Grand"
"2336258","2901265.26848","1336465.96637","825",""," ","Co Rd","County Road 494","Drive"," ","","","825 County Road 494 Drive ","","80447","Grand"
"2336259","2913222.33138","1224781.7722","825",""," ","","Ermine","Lane"," ","","","825 Ermine Lane ","","80442","Grand"
"2336260","2910009.59432","1334557.0962","825",""," ","","Lake","Avenue"," ","","","825 Lake Avenue ","","80447","Grand"
"2336261","2880145.9443","1274323.2151","825","","East","","E Jasper","Avenue"," ","","","825 East E Jasper Avenue ","","80446","Grand"
"2336262","2874677.31055","1318510.14487","826",""," ","Co Rd","County Road 412","Road"," ","","","826 County Road 412 Road ","","80446","Grand"
"2336263","2901079.19005","1336455.1679","826",""," ","Co Rd","County Road 494","Drive"," ","","","826 County Road 494 Drive ","","80447","Grand"
"2336264","2909964.89976","1334316.73573","826",""," ","","Lake","Avenue"," ","","","826 Lake Avenue ","","80447","Grand"
"2336265","2886034.03012","1308428.98783","827",""," ","Co Rd","County Road 41","Road"," ","","","827 County Road 41 Road ","","80446","Grand"
"2336266","2874554.89688","1318179.49525","827",""," ","Co Rd","County Road 412","Road"," ","","","827 County Road 412 Road ","","80446","Grand"
"2336267","2910216.91156","1334702.77596","828",""," ","","Grand","Avenue"," ","","","828 Grand Avenue ","","80447","Grand"
"2336268","2909988.88775","1334384.02872","828",""," ","","Lake","Avenue"," ","","","828 Lake Avenue ","","80447","Grand"
"2336269","2910262.27439","1335020.599","828",""," ","","Park","Avenue"," ","","","828 Park Avenue ","","80447","Grand"
"2336270","2917581.38335","1210359.54711","828",""," ","","Vasquez","Road"," ","","","828 Vasquez Road ","","80482","Grand"
"2336271","2917798.38587","1210558.70485","828",""," ","","Vasquez","Road"," ","","","828 Vasquez Road ","","80482","Grand"
"2336272","2912875.08452","1225100.9417","828",""," ","","Wapiti","Drive"," ","","","828 Wapiti Drive ","","80442","Grand"
"2336273","2912881.02596","1225111.49956","828, 830",""," ","","Wapiti","Drive"," ","","","828, 830 Wapiti Drive ","","80442","Grand"
"2336274","2898520.37144","1327805.80226","829",""," ","Co Rd","County Road 464","Road"," ","","","829 County Road 464 Road ","","80447","Grand"
"2336275","2913242.12366","1224782.0783","829",""," ","","Ermine","Lane"," ","","","829 Ermine Lane ","","80442","Grand"
"2336276","2910236.45074","1334906.91882","829",""," ","","Grand","Avenue"," ","","","829 Grand Avenue ","","80447","Grand"
"2336277","2910424.57429","1335529.3112","829",""," ","","Mountain","Avenue"," ","","","829 Mountain Avenue ","","80447","Grand"
"2336278","2925947.32692","1202945.46942","83",""," ","","Balsam","Drive"," ","","","83 Balsam Drive ","","80482","Grand"
"2336279","2712882.14243","1284395.38336","83",""," ","Co Rd","County Road 162","Drive"," ","","","83 County Road 162 Drive ","","80459","Grand"
"2336280","2888265.82157","1308490.03669","83",""," ","Co Rd","County Road 4104","Lane"," ","","","83 County Road 4104 Lane ","","80446","Grand"
"2336281","2875617.56409","1317651.91743","83",""," ","Co Rd","County Road 414","Road"," ","","","83 County Road 414 Road ","","80446","Grand"
"2336282","2898623.96463","1323638.42104","83",""," ","Co Rd","County Road 4636","Lane"," ","","","83 County Road 4636 Lane ","","80447","Grand"
"2336283","2900965.59257","1336419.74298","83",""," ","Co Rd","County Road 4982","Lane"," ","","","83 County Road 4982 Lane ","","80447","Grand"
"2336284","2914844.29058","1223243.25301","83",""," ","Co Rd","County Road 8400","Lane"," ","","","83 County Road 8400 Lane ","","80482","Grand"
"2336285","2914844.29058","1223243.25301","83",""," ","Co Rd","County Road 8400","Lane"," ","","","83 County Road 8400 Lane ","","80482","Grand"
"2336286","2914844.29058","1223243.25301","83",""," ","Co Rd","County Road 8400","Lane"," ","","","83 County Road 8400 Lane ","","80482","Grand"
"2336287","2914844.29058","1223243.25301","83",""," ","Co Rd","County Road 8400","Lane"," ","","","83 County Road 8400 Lane ","","80482","Grand"
"2336288","2914844.29058","1223243.25301","83",""," ","Co Rd","County Road 8400","Lane"," ","","","83 County Road 8400 Lane ","","80482","Grand"
"2336289","2914844.29058","1223243.25301","83",""," ","Co Rd","County Road 8400","Lane"," ","","","83 County Road 8400 Lane ","","80482","Grand"
"2336290","2914844.29058","1223243.25301","83",""," ","Co Rd","County Road 8400","Lane"," ","","","83 County Road 8400 Lane ","","80482","Grand"
"2336291","2914844.29058","1223243.25301","83",""," ","Co Rd","County Road 8400","Lane"," ","","","83 County Road 8400 Lane ","","80482","Grand"
"2336292","2914844.29058","1223243.25301","83",""," ","Co Rd","County Road 8400","Lane"," ","","","83 County Road 8400 Lane ","","80482","Grand"
"2336293","2914844.29058","1223243.25301","83",""," ","Co Rd","County Road 8400","Lane"," ","","","83 County Road 8400 Lane ","","80482","Grand"
"2336294","2914844.29058","1223243.25301","83",""," ","Co Rd","County Road 8400","Lane"," ","","","83 County Road 8400 Lane ","","80482","Grand"
"2336295","2914844.29058","1223243.25301","83",""," ","Co Rd","County Road 8400","Lane"," ","","","83 County Road 8400 Lane ","","80482","Grand"
"2336296","2914884.16731","1223399.02889","83",""," ","Co Rd","County Road 8400","Lane"," ","","","83 County Road 8400 Lane ","","80482","Grand"
"2336297","2914884.16731","1223399.02889","83",""," ","Co Rd","County Road 8400","Lane"," ","","","83 County Road 8400 Lane ","","80482","Grand"
"2336298","2914884.16731","1223399.02889","83",""," ","Co Rd","County Road 8400","Lane"," ","","","83 County Road 8400 Lane ","","80482","Grand"
"2336299","2914884.16731","1223399.02889","83",""," ","Co Rd","County Road 8400","Lane"," ","","","83 County Road 8400 Lane ","","80482","Grand"
"2336300","2914884.16731","1223399.02889","83",""," ","Co Rd","County Road 8400","Lane"," ","","","83 County Road 8400 Lane ","","80482","Grand"
"2336301","2914884.16731","1223399.02889","83",""," ","Co Rd","County Road 8400","Lane"," ","","","83 County Road 8400 Lane ","","80482","Grand"
"2336302","2914884.16731","1223399.02889","83",""," ","Co Rd","County Road 8400","Lane"," ","","","83 County Road 8400 Lane ","","80482","Grand"
"2336303","2914884.16731","1223399.02889","83",""," ","Co Rd","County Road 8400","Lane"," ","","","83 County Road 8400 Lane ","","80482","Grand"
"2336304","2914884.16731","1223399.02889","83",""," ","Co Rd","County Road 8400","Lane"," ","","","83 County Road 8400 Lane ","","80482","Grand"
"2336305","2914884.16731","1223399.02889","83",""," ","Co Rd","County Road 8400","Lane"," ","","","83 County Road 8400 Lane ","","80482","Grand"
"2336306","2914884.16731","1223399.02889","83",""," ","Co Rd","County Road 8400","Lane"," ","","","83 County Road 8400 Lane ","","80482","Grand"
"2336307","2914884.16731","1223399.02889","83",""," ","Co Rd","County Road 8400","Lane"," ","","","83 County Road 8400 Lane ","","80482","Grand"
"2336308","2914887.5963","1223097.16413","83",""," ","Co Rd","County Road 8400","Lane"," ","","","83 County Road 8400 Lane ","","80482","Grand"
"2336309","2914887.5963","1223097.16413","83",""," ","Co Rd","County Road 8400","Lane"," ","","","83 County Road 8400 Lane ","","80482","Grand"
"2336310","2914887.5963","1223097.16413","83",""," ","Co Rd","County Road 8400","Lane"," ","","","83 County Road 8400 Lane ","","80482","Grand"
"2336311","2914887.5963","1223097.16413","83",""," ","Co Rd","County Road 8400","Lane"," ","","","83 County Road 8400 Lane ","","80482","Grand"
"2336312","2914887.5963","1223097.16413","83",""," ","Co Rd","County Road 8400","Lane"," ","","","83 County Road 8400 Lane ","","80482","Grand"
"2336313","2914887.5963","1223097.16413","83",""," ","Co Rd","County Road 8400","Lane"," ","","","83 County Road 8400 Lane ","","80482","Grand"
"2336314","2914887.5963","1223097.16413","83",""," ","Co Rd","County Road 8400","Lane"," ","","","83 County Road 8400 Lane ","","80482","Grand"
"2336315","2914887.5963","1223097.16413","83",""," ","Co Rd","County Road 8400","Lane"," ","","","83 County Road 8400 Lane ","","80482","Grand"
"2336316","2914887.5963","1223097.16413","83",""," ","Co Rd","County Road 8400","Lane"," ","","","83 County Road 8400 Lane ","","80482","Grand"
"2336317","2914887.5963","1223097.16413","83",""," ","Co Rd","County Road 8400","Lane"," ","","","83 County Road 8400 Lane ","","80482","Grand"
"2336318","2914887.5963","1223097.16413","83",""," ","Co Rd","County Road 8400","Lane"," ","","","83 County Road 8400 Lane ","","80482","Grand"
"2336319","2914887.5963","1223097.16413","83",""," ","Co Rd","County Road 8400","Lane"," ","","","83 County Road 8400 Lane ","","80482","Grand"
"2336320","2915006.83222","1222993.20962","83",""," ","Co Rd","County Road 8400","Lane"," ","","","83 County Road 8400 Lane ","","80482","Grand"
"2336321","2915006.83222","1222993.20962","83",""," ","Co Rd","County Road 8400","Lane"," ","","","83 County Road 8400 Lane ","","80482","Grand"
"2336322","2915006.83222","1222993.20962","83",""," ","Co Rd","County Road 8400","Lane"," ","","","83 County Road 8400 Lane ","","80482","Grand"
"2336323","2915006.83222","1222993.20962","83",""," ","Co Rd","County Road 8400","Lane"," ","","","83 County Road 8400 Lane ","","80482","Grand"
"2336324","2915006.83222","1222993.20962","83",""," ","Co Rd","County Road 8400","Lane"," ","","","83 County Road 8400 Lane ","","80482","Grand"
"2336325","2915006.83222","1222993.20962","83",""," ","Co Rd","County Road 8400","Lane"," ","","","83 County Road 8400 Lane ","","80482","Grand"
"2336326","2915006.83222","1222993.20962","83",""," ","Co Rd","County Road 8400","Lane"," ","","","83 County Road 8400 Lane ","","80482","Grand"
"2336327","2915006.83222","1222993.20962","83",""," ","Co Rd","County Road 8400","Lane"," ","","","83 County Road 8400 Lane ","","80482","Grand"
"2336328","2915006.83222","1222993.20962","83",""," ","Co Rd","County Road 8400","Lane"," ","","","83 County Road 8400 Lane ","","80482","Grand"
"2336329","2915006.83222","1222993.20962","83",""," ","Co Rd","County Road 8400","Lane"," ","","","83 County Road 8400 Lane ","","80482","Grand"
"2336330","2915006.83222","1222993.20962","83",""," ","Co Rd","County Road 8400","Lane"," ","","","83 County Road 8400 Lane ","","80482","Grand"
"2336331","2915006.83222","1222993.20962","83",""," ","Co Rd","County Road 8400","Lane"," ","","","83 County Road 8400 Lane ","","80482","Grand"
"2336332","2915072.40294","1223427.54649","83",""," ","Co Rd","County Road 8400","Lane"," ","","","83 County Road 8400 Lane ","","80482","Grand"
"2336333","2915072.40294","1223427.54649","83",""," ","Co Rd","County Road 8400","Lane"," ","","","83 County Road 8400 Lane ","","80482","Grand"
"2336334","2915072.40294","1223427.54649","83",""," ","Co Rd","County Road 8400","Lane"," ","","","83 County Road 8400 Lane ","","80482","Grand"
"2336335","2915072.40294","1223427.54649","83",""," ","Co Rd","County Road 8400","Lane"," ","","","83 County Road 8400 Lane ","","80482","Grand"
"2336336","2915072.40294","1223427.54649","83",""," ","Co Rd","County Road 8400","Lane"," ","","","83 County Road 8400 Lane ","","80482","Grand"
"2336337","2915072.40294","1223427.54649","83",""," ","Co Rd","County Road 8400","Lane"," ","","","83 County Road 8400 Lane ","","80482","Grand"
"2336338","2915072.40294","1223427.54649","83",""," ","Co Rd","County Road 8400","Lane"," ","","","83 County Road 8400 Lane ","","80482","Grand"
"2336339","2915072.40294","1223427.54649","83",""," ","Co Rd","County Road 8400","Lane"," ","","","83 County Road 8400 Lane ","","80482","Grand"
"2336340","2915220.27577","1223369.40271","83",""," ","Co Rd","County Road 8400","Lane"," ","","","83 County Road 8400 Lane ","","80482","Grand"
"2336341","2915220.27577","1223369.40271","83",""," ","Co Rd","County Road 8400","Lane"," ","","","83 County Road 8400 Lane ","","80482","Grand"
"2336342","2915220.27577","1223369.40271","83",""," ","Co Rd","County Road 8400","Lane"," ","","","83 County Road 8400 Lane ","","80482","Grand"
"2336343","2915220.27577","1223369.40271","83",""," ","Co Rd","County Road 8400","Lane"," ","","","83 County Road 8400 Lane ","","80482","Grand"
"2336344","2915220.27577","1223369.40271","83",""," ","Co Rd","County Road 8400","Lane"," ","","","83 County Road 8400 Lane ","","80482","Grand"
"2336345","2915220.27577","1223369.40271","83",""," ","Co Rd","County Road 8400","Lane"," ","","","83 County Road 8400 Lane ","","80482","Grand"
"2336346","2915220.27577","1223369.40271","83",""," ","Co Rd","County Road 8400","Lane"," ","","","83 County Road 8400 Lane ","","80482","Grand"
"2336347","2915220.27577","1223369.40271","83",""," ","Co Rd","County Road 8400","Lane"," ","","","83 County Road 8400 Lane ","","80482","Grand"
"2336348","2915220.27577","1223369.40271","83",""," ","Co Rd","County Road 8400","Lane"," ","","","83 County Road 8400 Lane ","","80482","Grand"
"2336349","2915220.27577","1223369.40271","83",""," ","Co Rd","County Road 8400","Lane"," ","","","83 County Road 8400 Lane ","","80482","Grand"
"2336350","2915220.27577","1223369.40271","83",""," ","Co Rd","County Road 8400","Lane"," ","","","83 County Road 8400 Lane ","","80482","Grand"
"2336351","2915220.27577","1223369.40271","83",""," ","Co Rd","County Road 8400","Lane"," ","","","83 County Road 8400 Lane ","","80482","Grand"
"2336352","2919657.80472","1220842.90081","83",""," ","","Moose Horn Ct","Court"," ","","","83 Moose Horn Ct Court ","","80442","Grand"
"2336353","2922664.05626","1216451.08742","83",""," ","","Wildflower","Lane"," ","","","83 Wildflower Lane ","","80482","Grand"
"2336354","2913411.9117","1225305.12876","830",""," ","","Badger","Lane"," ","","","830 Badger Lane ","","80442","Grand"
"2336355","2712079.88322","1296063.74147","830",""," ","Co Rd","County Road 165","Way"," ","","","830 County Road 165 Way ","","80459","Grand"
"2336356","2902739.9745","1335663.49333","830",""," ","Co Rd","County Road 4980","Road"," ","","","830 County Road 4980 Road ","","80447","Grand"
"2336357","2913329.08215","1224651.54411","830",""," ","","Ermine","Lane"," ","","","830 Ermine Lane ","","80442","Grand"
"2336358","2913329.45556","1224642.08004","830",""," ","","Ermine","Lane"," ","","","830 Ermine Lane ","","80442","Grand"
"2336359","2913371.16778","1224419.51308","830",""," ","","Ferret","Lane"," ","","","830 Ferret Lane ","","80442","Grand"
"2336360","2913372.13127","1224430.57047","830",""," ","","Ferret","Lane"," ","","","830 Ferret Lane ","","80442","Grand"
"2336361","2910014.41832","1334329.26418","830",""," ","","Lake","Avenue"," ","","","830 Lake Avenue ","","80447","Grand"
"2336362","2913246.20698","1224873.46329","830",""," ","","Mink","Lane"," ","","","830 Mink Lane ","","80442","Grand"
"2336363","2910377.00666","1335313.33884","830",""," ","","Mountain","Avenue"," ","","","830 Mountain Avenue ","","80447","Grand"
"2336364","2913199.1003","1225083.00452","830",""," ","","Wolverine","Lane"," ","","","830 Wolverine Lane ","","80442","Grand"
"2336365","2913199.1003","1225083.00452","830",""," ","","Wolverine","Lane"," ","","","830 Wolverine Lane ","","80442","Grand"
"2336366","2887881.44328","1260833.81617","8301",""," ","","Northar"," "," ","","","8301 Northar ","","80446","Grand"
"2336367","2887881.44328","1260833.81617","8302",""," ","","Northar"," "," ","","","8302 Northar ","","80446","Grand"
"2336368","2887881.44328","1260833.81617","8303",""," ","","Northar"," "," ","","","8303 Northar ","","80446","Grand"
"2336369","2887881.44328","1260833.81617","8304",""," ","","Northar"," "," ","","","8304 Northar ","","80446","Grand"
"2336370","2887881.44328","1260833.81617","8305",""," ","","Northar"," "," ","","","8305 Northar ","","80446","Grand"
"2336371","2714947.35906","1283317.16076","831",""," ","Co Rd","County Road 137","Road"," ","","","831 County Road 137 Road ","","80459","Grand"
"2336372","2712489.56467","1286056.98628","831",""," ","Co Rd","County Road 162","Drive"," ","","","831 County Road 162 Drive ","","80459","Grand"
"2336373","2916615.7835","1222097.65379","831",""," ","Co Rd","County Road 834","Avenue"," ","","","831 County Road 834 Avenue ","","80482","Grand"
"2336374","2916615.7835","1222097.65379","831",""," ","Co Rd","County Road 834","Avenue"," ","","","831 County Road 834 Avenue ","","80482","Grand"
"2336375","2916615.7835","1222097.65379","831",""," ","Co Rd","County Road 834","Avenue"," ","","","831 County Road 834 Avenue ","","80482","Grand"
"2336376","2916615.7835","1222097.65379","831",""," ","Co Rd","County Road 834","Avenue"," ","","","831 County Road 834 Avenue ","","80482","Grand"
"2336377","2916615.7835","1222097.65379","831",""," ","Co Rd","County Road 834","Avenue"," ","","","831 County Road 834 Avenue ","","80482","Grand"
"2336378","2916615.7835","1222097.65379","831",""," ","Co Rd","County Road 834","Avenue"," ","","","831 County Road 834 Avenue ","","80482","Grand"
"2336379","2916615.7835","1222097.65379","831",""," ","Co Rd","County Road 834","Avenue"," ","","","831 County Road 834 Avenue ","","80482","Grand"
"2336380","2916615.7835","1222097.65379","831",""," ","Co Rd","County Road 834","Avenue"," ","","","831 County Road 834 Avenue ","","80482","Grand"
"2336381","2916615.7835","1222097.65379","831",""," ","Co Rd","County Road 834","Avenue"," ","","","831 County Road 834 Avenue ","","80482","Grand"
"2336382","2916747.58893","1222063.54317","831",""," ","Co Rd","County Road 834","Avenue"," ","","","831 County Road 834 Avenue ","","80482","Grand"
"2336383","2916747.58893","1222063.54317","831",""," ","Co Rd","County Road 834","Avenue"," ","","","831 County Road 834 Avenue ","","80482","Grand"
"2336384","2916747.58893","1222063.54317","831",""," ","Co Rd","County Road 834","Avenue"," ","","","831 County Road 834 Avenue ","","80482","Grand"
"2336385","2916747.58893","1222063.54317","831",""," ","Co Rd","County Road 834","Avenue"," ","","","831 County Road 834 Avenue ","","80482","Grand"
"2336386","2916747.58893","1222063.54317","831",""," ","Co Rd","County Road 834","Avenue"," ","","","831 County Road 834 Avenue ","","80482","Grand"
"2336387","2916747.58893","1222063.54317","831",""," ","Co Rd","County Road 834","Avenue"," ","","","831 County Road 834 Avenue ","","80482","Grand"
"2336388","2916747.58893","1222063.54317","831",""," ","Co Rd","County Road 834","Avenue"," ","","","831 County Road 834 Avenue ","","80482","Grand"
"2336389","2916747.58893","1222063.54317","831",""," ","Co Rd","County Road 834","Avenue"," ","","","831 County Road 834 Avenue ","","80482","Grand"
"2336390","2916830.11708","1222131.98124","831",""," ","Co Rd","County Road 834","Avenue"," ","","","831 County Road 834 Avenue ","","80482","Grand"
"2336391","2916830.11708","1222131.98124","831",""," ","Co Rd","County Road 834","Avenue"," ","","","831 County Road 834 Avenue ","","80482","Grand"
"2336392","2916830.11708","1222131.98124","831",""," ","Co Rd","County Road 834","Avenue"," ","","","831 County Road 834 Avenue ","","80482","Grand"
"2336393","2916830.11708","1222131.98124","831",""," ","Co Rd","County Road 834","Avenue"," ","","","831 County Road 834 Avenue ","","80482","Grand"
"2336394","2916830.11708","1222131.98124","831",""," ","Co Rd","County Road 834","Avenue"," ","","","831 County Road 834 Avenue ","","80482","Grand"
"2336395","2916830.11708","1222131.98124","831",""," ","Co Rd","County Road 834","Avenue"," ","","","831 County Road 834 Avenue ","","80482","Grand"
"2336396","2916830.11708","1222131.98124","831",""," ","Co Rd","County Road 834","Avenue"," ","","","831 County Road 834 Avenue ","","80482","Grand"
"2336397","2916830.11708","1222131.98124","831",""," ","Co Rd","County Road 834","Avenue"," ","","","831 County Road 834 Avenue ","","80482","Grand"
"2336398","2916830.11708","1222131.98124","831",""," ","Co Rd","County Road 834","Avenue"," ","","","831 County Road 834 Avenue ","","80482","Grand"
"2336399","2913261.88773","1224782.34536","831",""," ","","Ermine","Lane"," ","","","831 Ermine Lane ","","80442","Grand"
"2336400","2913352.26736","1224548.46188","831",""," ","","Ferret","Lane"," ","","","831 Ferret Lane ","","80442","Grand"
"2336401","2913358.07356","1224555.29562","831",""," ","","Ferret","Lane"," ","","","831 Ferret Lane ","","80442","Grand"
"2336402","2913210.40286","1224987.46458","831",""," ","","Mink","Lane"," ","","","831 Mink Lane ","","80442","Grand"
"2336403","2913210.40286","1224987.46458","831",""," ","","Mink","Lane"," ","","","831 Mink Lane ","","80442","Grand"
"2336404","2913244.94649","1224989.03983","831",""," ","","Mink","Lane"," ","","","831 Mink Lane ","","80442","Grand"
"2336405","2912975.26822","1225025.42657","831",""," ","","Wapiti","Drive"," ","","","831 Wapiti Drive ","","80442","Grand"
"2336406","2912867.92657","1225027.41049","832",""," ","","Wapiti","Drive"," ","","","832 Wapiti Drive ","","80442","Grand"
"2336407","2908752.47803","1333299.12497","833",""," ","","Cairns","Avenue"," ","","","833 Cairns Avenue ","","80447","Grand"
"2336408","2714995.71908","1282713.0187","833",""," ","Co Rd","County Road 137","Road"," ","","","833 County Road 137 Road ","","80459","Grand"
"2336409","2902550.31499","1335709.51717","833_843",""," ","Co Rd","County Road 4980","Road"," ","","","833_843 County Road 4980 Road ","","80447","Grand"
"2336410","2714912.64592","1281961.0206","834",""," ","Co Rd","County Road 137","Road"," ","","","834 County Road 137 Road ","","80459","Grand"
"2336411","2898757.31988","1327776.74691","834",""," ","Co Rd","County Road 464","Road"," ","","","834 County Road 464 Road ","","80447","Grand"
"2336412","2910055.60879","1334348.65396","834",""," ","","Lake","Avenue"," ","","","834 Lake Avenue ","","80447","Grand"
"2336413","2916719.96562","1211044.53456","835",""," ","","Bear Trail","Trail"," ","","","835 Bear Trail Trail ","","80482","Grand"
"2336414","2890785.10779","1315297.83632","835",""," ","Co Rd","County Road 4","Road"," ","","","835 County Road 4 Road ","","80447","Grand"
"2336415","2902415.85153","1310777.84792","835",""," ","Co Rd","County Road 6421","Drive"," ","","","835 County Road 6421 Drive ","","80447","Grand"
"2336416","2913381.5483","1224549.48019","835",""," ","","Ferret","Lane"," ","","","835 Ferret Lane ","","80442","Grand"
"2336417","2880206.71063","1274375.83062","835","","East","","W Garnet","Avenue"," ","","","835 East W Garnet Avenue ","","80446","Grand"
"2336418","2912855.67295","1224936.29862","836",""," ","","Wapiti","Drive"," ","","","836 Wapiti Drive ","","80442","Grand"
"2336419","2912855.67295","1224936.29862","836",""," ","","Wapiti","Drive"," ","","","836 Wapiti Drive ","","80442","Grand"
"2336420","2912858.52764","1224945.74202","836",""," ","","Wapiti","Drive"," ","","","836 Wapiti Drive ","","80442","Grand"
"2336421","2720757.54331","1284416.56681","837",""," ","Co Rd","County Road 137","Road"," ","","","837 County Road 137 Road ","","80459","Grand"
"2336422","2912016.03261","1225413.0298","837",""," ","","Quail","Drive"," ","","","837 Quail Drive ","","80442","Grand"
