"2330067","2914238.94209","1334717.10437","220",""," ","Co Rd","County Road 6675","Drive"," ","","","220 County Road 6675 Drive ","","80447","Grand"
"2330068","2902719.39431","1317225.90705","220",""," ","Co Rd","County Road 668","Drive"," ","","","220 County Road 668 Drive ","","80447","Grand"
"2330069","2920577.86555","1214353.2048","220",""," ","","Crosscut","Drive"," ","","","220 Crosscut Drive ","","80482","Grand"
"2330070","2922707.2189","1217083.14357","220",""," ","","Friendship","Drive"," ","","","220 Friendship Drive ","","80482","Grand"
"2330071","2907238.46955","1335340.8389","220",""," ","","Grand","Avenue"," ","","","220 Grand Avenue ","","80447","Grand"
"2330072","2911853.50015","1334960.81589","220",""," ","","Hancock","Street"," ","","","220 Hancock Street ","","80447","Grand"
"2330073","2927777.51355","1204237.45666","220",""," ","","Lakota Park","Drive"," ","","","220 Lakota Park Drive ","","80482","Grand"
"2330074","2911241.18737","1223334.3125","220",""," ","","Railroad","Avenue"," ","","","220 Railroad Avenue ","","80442","Grand"
"2330075","2911241.18737","1223354.31246","220",""," ","","Railroad","Avenue"," ","","","220 Railroad Avenue ","","80442","Grand"
"2330076","2911249.44605","1223357.28618","220",""," ","","Railroad","Avenue"," ","","","220 Railroad Avenue ","","80442","Grand"
"2330077","2911253.41733","1223355.3223","220",""," ","","Railroad","Avenue"," ","","","220 Railroad Avenue ","","80442","Grand"
"2330078","2911267.18748","1223357.10937","220",""," ","","Railroad","Avenue"," ","","","220 Railroad Avenue ","","80442","Grand"
"2330079","2911287.18761","1223357.10937","220",""," ","","Railroad","Avenue"," ","","","220 Railroad Avenue ","","80442","Grand"
"2330080","2911993.4314","1334747.2901","220",""," ","","Rapids","Lane"," ","","","220 Rapids Lane ","","80447","Grand"
"2330081","2911993.4314","1334747.2901","220",""," ","","Rapids","Lane"," ","","","220 Rapids Lane ","","80447","Grand"
"2330082","2911993.4314","1334747.2901","220",""," ","","Rapids","Lane"," ","","","220 Rapids Lane ","","80447","Grand"
"2330083","2911993.4314","1334747.2901","220",""," ","","Rapids","Lane"," ","","","220 Rapids Lane ","","80447","Grand"
"2330084","2911993.4314","1334747.2901","220",""," ","","Rapids","Lane"," ","","","220 Rapids Lane ","","80447","Grand"
"2330085","2911993.4314","1334747.2901","220",""," ","","Rapids","Lane"," ","","","220 Rapids Lane ","","80447","Grand"
"2330086","2922016.0966","1216505.24774","220",""," ","","Reunion Ct","Court"," ","","","220 Reunion Ct Court ","","80482","Grand"
"2330087","2906030.70839","1335716.06006","220",""," ","","Tall Pine","Circle"," ","","","220 Tall Pine Circle ","","80447","Grand"
"2330088","2920084.97089","1211193.29279","220",""," ","","Village","Drive"," ","","","220 Village Drive ","","80482","Grand"
"2330089","2920084.97089","1211193.29279","220",""," ","","Village","Drive"," ","","","220 Village Drive ","","80482","Grand"
"2330090","2920084.97089","1211193.29279","220",""," ","","Village","Drive"," ","","","220 Village Drive ","","80482","Grand"
"2330091","2920084.97089","1211193.29279","220",""," ","","Village","Drive"," ","","","220 Village Drive ","","80482","Grand"
"2330092","2920084.97089","1211193.29279","220",""," ","","Village","Drive"," ","","","220 Village Drive ","","80482","Grand"
"2330093","2920084.97089","1211193.29279","220",""," ","","Village","Drive"," ","","","220 Village Drive ","","80482","Grand"
"2330094","2920084.97089","1211193.29279","220",""," ","","Village","Drive"," ","","","220 Village Drive ","","80482","Grand"
"2330095","2920084.97089","1211193.29279","220",""," ","","Village","Drive"," ","","","220 Village Drive ","","80482","Grand"
"2330096","2920084.97089","1211193.29279","220",""," ","","Village","Drive"," ","","","220 Village Drive ","","80482","Grand"
"2330097","2920084.97089","1211193.29279","220",""," ","","Village","Drive"," ","","","220 Village Drive ","","80482","Grand"
"2330098","2920084.97089","1211193.29279","220",""," ","","Village","Drive"," ","","","220 Village Drive ","","80482","Grand"
"2330099","2920084.97089","1211193.29279","220",""," ","","Village","Drive"," ","","","220 Village Drive ","","80482","Grand"
"2330100","2916572.14184","1210946.70386","220",""," ","","Woodspur","Lane"," ","","","220 Woodspur Lane ","","80482","Grand"
"2330101","2876433.11302","1275338.59578","220",""," ","","Zero","Street"," ","","","220 Zero Street ","","80446","Grand"
"2330102","2912400.52505","1334776.7777","220","","North","","N Inlet","Road"," ","","","220 North N Inlet Road ","","80447","Grand"
"2330103","2888285.43886","1261086.36932","2201",""," ","","Blue Sky","Drive"," ","","","2201 Blue Sky Drive ","","80446","Grand"
"2330104","2888285.43886","1261086.36932","2202",""," ","","Blue Sky","Drive"," ","","","2202 Blue Sky Drive ","","80446","Grand"
"2330105","2888285.43886","1261086.36932","2203",""," ","","Blue Sky","Drive"," ","","","2203 Blue Sky Drive ","","80446","Grand"
"2330106","2888285.43886","1261086.36932","2204",""," ","","Blue Sky","Drive"," ","","","2204 Blue Sky Drive ","","80446","Grand"
"2330107","2888285.43886","1261086.36932","2205",""," ","","Blue Sky","Drive"," ","","","2205 Blue Sky Drive ","","80446","Grand"
"2330108","2711073.69655","1284730.58501","221",""," ","Co Rd","County Road 161","Road"," ","","","221 County Road 161 Road ","","80459","Grand"
"2330109","2888772.1097","1308725.97421","221",""," ","Co Rd","County Road 4103","Drive"," ","","","221 County Road 4103 Drive ","","80446","Grand"
"2330110","2894326.46826","1315079.73008","221",""," ","Co Rd","County Road 4421","Road"," ","","","221 County Road 4421 Road ","","80447","Grand"
"2330111","2901532.13064","1327642.25732","221",""," ","Co Rd","County Road 4655","Trail"," ","","","221 County Road 4655 Trail ","","80447","Grand"
"2330112","2920504.28696","1214411.56131","221",""," ","","Crosscut","Drive"," ","","","221 Crosscut Drive ","","80482","Grand"
"2330113","2918033.77779","1212724.02171","221",""," ","","Forest Trl","Trail"," ","","","221 Forest Trl Trail ","","80482","Grand"
"2330114","2917754.95092","1215691.21722","221",""," ","","Kings Crossing","Road"," ","","","221 Kings Crossing Road ","","80482","Grand"
"2330115","2925670.38456","1202161.60156","221",""," ","","Parsenn Road"," "," ","","","221 Parsenn Road ","","80482","Grand"
"2330116","2874649.44988","1275453.49024","221",""," ","","Selak","Drive"," ","","","221 Selak Drive ","","80446","Grand"
"2330117","2917609.65134","1211815.07044","221",""," ","","Timber Lake","Way"," ","","","221 Timber Lake Way ","","80482","Grand"
"2330118","2917495.4165","1210888.71795","221",""," ","","Van Anderson","Drive"," ","","","221 Van Anderson Drive ","","80482","Grand"
"2330119","2917495.4165","1210888.71795","221",""," ","","Van Anderson","Drive"," ","","","221 Van Anderson Drive ","","80482","Grand"
"2330120","2917495.4165","1210888.71795","221",""," ","","Van Anderson","Drive"," ","","","221 Van Anderson Drive ","","80482","Grand"
"2330121","2917495.4165","1210888.71795","221",""," ","","Van Anderson","Drive"," ","","","221 Van Anderson Drive ","","80482","Grand"
"2330122","2917495.4165","1210888.71795","221",""," ","","Van Anderson","Drive"," ","","","221 Van Anderson Drive ","","80482","Grand"
"2330123","2911522.54967","1223370.63854","221","","North","","N Doc Susie","Avenue"," ","","","221 North N Doc Susie Avenue ","","80442","Grand"
"2330124","2715491.46432","1295724.66626","2210",""," ","Co Rd","County Road 19","Road"," ","","","2210 County Road 19 Road ","","80459","Grand"
"2330125","2900735.06632","1315675.82328","2211",""," ","Co Rd","County Road 642","Drive"," ","","","2211 County Road 642 Drive ","","80447","Grand"
"2330126","2884802.97286","1254297.31992","2216",""," ","Co Rd","County Road 88","Drive"," ","","","2216 County Road 88 Drive ","","80446","Grand"
"2330127","2884935.40247","1254021.05709","2216",""," ","Co Rd","County Road 88","Drive"," ","","","2216 County Road 88 Drive ","","80446","Grand"
"2330128","2895093.81609","1315330.50498","222",""," ","Co Rd","County Road 442","Road"," ","","","222 County Road 442 Road ","","80447","Grand"
"2330129","2894401.51713","1315131.8691","222",""," ","Co Rd","County Road 4421","Road"," ","","","222 County Road 4421 Road ","","80447","Grand"
"2330130","2891734.13476","1315177.53917","222",""," ","Co Rd","County Road 448","Drive"," ","","","222 County Road 448 Drive ","","80447","Grand"
"2330131","2897303.4824","1320466.91995","222",""," ","Co Rd","County Road 4626","Road"," ","","","222 County Road 4626 Road ","","80447","Grand"
"2330132","2897296.57428","1320052.94427","222",""," ","Co Rd","County Road 4627","Road"," ","","","222 County Road 4627 Road ","","80447","Grand"
"2330133","2897290.74599","1319640.80084","222",""," ","Co Rd","County Road 4628","Road"," ","","","222 County Road 4628 Road ","","80447","Grand"
"2330134","2903569.7045","1333786.24483","222",""," ","Co Rd","County Road 471","Drive"," ","","","222 County Road 471 Drive ","","80447","Grand"
"2330135","2913060.94484","1224095.83867","222",""," ","Co Rd","County Road 8040","Drive"," ","","","222 County Road 8040 Drive ","","80442","Grand"
"2330136","2913060.94484","1224095.83867","222",""," ","Co Rd","County Road 8040","Drive"," ","","","222 County Road 8040 Drive ","","80442","Grand"
"2330137","2913060.94484","1224095.83867","222",""," ","Co Rd","County Road 8040","Drive"," ","","","222 County Road 8040 Drive ","","80442","Grand"
"2330138","2913060.94484","1224095.83867","222",""," ","Co Rd","County Road 8040","Drive"," ","","","222 County Road 8040 Drive ","","80442","Grand"
"2330139","2913096.79642","1224035.70704","222",""," ","Co Rd","County Road 8040","Drive"," ","","","222 County Road 8040 Drive ","","80442","Grand"
"2330140","2913096.79642","1224035.70704","222",""," ","Co Rd","County Road 8040","Drive"," ","","","222 County Road 8040 Drive ","","80442","Grand"
"2330141","2913096.79642","1224035.70704","222",""," ","Co Rd","County Road 8040","Drive"," ","","","222 County Road 8040 Drive ","","80442","Grand"
"2330142","2913096.79642","1224035.70704","222",""," ","Co Rd","County Road 8040","Drive"," ","","","222 County Road 8040 Drive ","","80442","Grand"
"2330143","2913132.8189","1223974.91164","222",""," ","Co Rd","County Road 8040","Drive"," ","","","222 County Road 8040 Drive ","","80442","Grand"
"2330144","2913132.8189","1223974.91164","222",""," ","Co Rd","County Road 8040","Drive"," ","","","222 County Road 8040 Drive ","","80442","Grand"
"2330145","2913132.8189","1223974.91164","222",""," ","Co Rd","County Road 8040","Drive"," ","","","222 County Road 8040 Drive ","","80442","Grand"
"2330146","2913132.8189","1223974.91164","222",""," ","Co Rd","County Road 8040","Drive"," ","","","222 County Road 8040 Drive ","","80442","Grand"
"2330147","2913167.56909","1223916.3511","222",""," ","Co Rd","County Road 8040","Drive"," ","","","222 County Road 8040 Drive ","","80442","Grand"
"2330148","2913167.56909","1223916.3511","222",""," ","Co Rd","County Road 8040","Drive"," ","","","222 County Road 8040 Drive ","","80442","Grand"
"2330149","2913167.56909","1223916.3511","222",""," ","Co Rd","County Road 8040","Drive"," ","","","222 County Road 8040 Drive ","","80442","Grand"
"2330150","2913167.56909","1223916.3511","222",""," ","Co Rd","County Road 8040","Drive"," ","","","222 County Road 8040 Drive ","","80442","Grand"
"2330151","2920595.3583","1214371.64702","222",""," ","","Crosscut","Drive"," ","","","222 Crosscut Drive ","","80482","Grand"
"2330152","2831267.71306","1271611.00955","222",""," ","","Spruce","Street"," ","","","222 Spruce Street ","","80451","Grand"
"2330153","2922774.07605","1197280.85903","222",""," ","","Sunspot"," "," ","","","222 Sunspot ","","80482","Grand"
"2330154","2906030.70839","1335716.06006","222",""," ","","Tall Pine","Circle"," ","","","222 Tall Pine Circle ","","80447","Grand"
"2330155","2922037.49091","1217839.81135","222",""," ","","Trails End","Way"," ","","","222 Trails End Way ","","80442","Grand"
"2330156","2916572.14184","1210946.70386","222",""," ","","Woodspur","Lane"," ","","","222 Woodspur Lane ","","80482","Grand"
"2330157","2902937.74354","1330272.65054","222_236",""," ","Co Rd","County Road 469","Circle"," ","","","222_236 County Road 469 Circle ","","80447","Grand"
"2330158","2919143.96914","1220591.36785","2222",""," ","","Pioneer Trail","Trail"," ","","","2222 Pioneer Trail Trail ","","80442","Grand"
"2330159","2710953.77232","1292352.0894","2227",""," ","Co Rd","County Road 164","Drive"," ","","","2227 County Road 164 Drive ","","80459","Grand"
"2330160","2893080.67759","1314112.18422","223",""," ","Co Rd","County Road 4038","Road"," ","","","223 County Road 4038 Road ","","80447","Grand"
"2330161","2896127.27088","1316282.71181","223",""," ","Co Rd","County Road 4403","Road"," ","","","223 County Road 4403 Road ","","80447","Grand"
"2330162","2894308.41352","1315097.65383","223",""," ","Co Rd","County Road 4421","Road"," ","","","223 County Road 4421 Road ","","80447","Grand"
"2330163","2897304.99408","1320710.84321","223",""," ","Co Rd","County Road 4626","Road"," ","","","223 County Road 4626 Road ","","80447","Grand"
"2330164","2897299.91004","1320290.05709","223",""," ","Co Rd","County Road 4627","Road"," ","","","223 County Road 4627 Road ","","80447","Grand"
"2330165","2897293.7528","1319876.88885","223",""," ","Co Rd","County Road 4628","Road"," ","","","223 County Road 4628 Road ","","80447","Grand"
"2330166","2903207.95287","1333775.08297","223",""," ","Co Rd","County Road 471","Drive"," ","","","223 County Road 471 Drive ","","80447","Grand"
"2330167","2904961.61941","1333016.05493","223",""," ","Co Rd","County Road 477","Street"," ","","","223 County Road 477 Street ","","80447","Grand"
"2330168","2900443.63782","1336142.25618","223",""," ","Co Rd","County Road 4980","Road"," ","","","223 County Road 4980 Road ","","80447","Grand"
