670027,031-002539-354378,NULL,-105.01737427,39.68078052,2539,NULL,West,NULL,Asbury,Avenue,NULL,NULL,NULL,2539 West Asbury Avenue,NULL,NULL,NULL,NULL,2019-01-17 00:00:00.0000000,ACTIVE,MODIFY ATTRIBUTE,Denver,0xAD100000010CA8BAFDA81C415AC0F86DE8D023D74340
670028,031-002549-354379,NULL,-105.01737427,39.68078052,2549,NULL,West,NULL,Asbury,Avenue,NULL,NULL,NULL,2549 West Asbury Avenue,NULL,NULL,NULL,NULL,2019-01-17 00:00:00.0000000,ACTIVE,MODIFY ATTRIBUTE,Denver,0xAD100000010CA8BAFDA81C415AC0F86DE8D023D74340
670029,031-000663-354380,NULL,-105.04340634,39.70469698,663,NULL,South,NULL,Stuart,Street,NULL,NULL,NULL,663 South Streetuart St,NULL,NULL,NULL,NULL,2019-01-17 00:00:00.0000000,ACTIVE,MODIFY ATTRIBUTE,Denver,0xAD100000010C04076930C7425AC0904B398533DA4340
670030,031-000665-354381,NULL,-105.04348177,39.70466651,665,NULL,South,NULL,Stuart,Street,NULL,NULL,NULL,665 South Streetuart St,NULL,NULL,NULL,NULL,2019-01-17 00:00:00.0000000,ACTIVE,MODIFY ATTRIBUTE,Denver,0xAD100000010CEC0D446AC8425AC038A65A8A32DA4340
670031,031-000008-354382,NULL,-104.98359945,39.71627951,8,NULL,South,NULL,Grant,Street,NULL,NULL,NULL,8 South Grant Street,NULL,NULL,NULL,NULL,2019-01-17 00:00:00.0000000,ACTIVE,MODIFY ATTRIBUTE,Denver,0xAD100000010CA0D02645F33E5AC0102ED60AAFDB4340
670032,031-000006-354383,NULL,-104.98359913,39.71632245,6,NULL,South,NULL,Grant,Street,NULL,NULL,NULL,6 South Grant Street,NULL,NULL,NULL,NULL,2019-01-17 00:00:00.0000000,ACTIVE,MODIFY ATTRIBUTE,Denver,0xAD100000010C30ECCA43F33E5AC0E8F4477BB0DB4340
670033,031-000007-354384,NULL,-104.98399120,39.71635697,7,NULL,South,NULL,Grant,Street,NULL,NULL,NULL,7 South Grant Street,NULL,NULL,NULL,NULL,2019-01-17 00:00:00.0000000,ACTIVE,MODIFY ATTRIBUTE,Denver,0xAD100000010CF817B5B9F93E5AC080192A9EB1DB4340
670034,031-000691-354385,NULL,-105.03827288,39.70424474,691,NULL,South,NULL,Osceola,Street,NULL,NULL,NULL,691 South Osceola Street,NULL,NULL,NULL,NULL,2019-01-17 00:00:00.0000000,ACTIVE,MODIFY ATTRIBUTE,Denver,0xAD100000010CDC500F0973425AC0F02E6AA624DA4340
670035,031-002900-354386,NULL,-105.01425191,39.75872722,2900,NULL,North,NULL,Wyandot,Street,NULL,Unit,307,2900 North Wyandot Street Unit 307,NULL,NULL,NULL,NULL,2019-01-17 00:00:00.0000000,ACTIVE,MODIFY ATTRIBUTE,Denver,0xAD100000010C80F6AD80E9405AC0604088011EE14340
670036,031-002900-354387,NULL,-105.01426098,39.75855425,2900,NULL,North,NULL,Wyandot,Street,NULL,Unit,101,2900 North Wyandot Street Unit 101,NULL,NULL,NULL,NULL,2019-01-17 00:00:00.0000000,ACTIVE,MODIFY ATTRIBUTE,Denver,0xAD100000010CCCD489A3E9405AC048D2FF5618E14340
