540032,013-001030-091286,NULL,-105.27924952,40.01127778,1030,NULL, ,NULL,Grandview, ,NULL, , ,1030 Grandview ,Boulder,80302,NULL,NULL,2019-04-25 00:00:00.0000000,ACTIVE,NO CHANGE,Boulder,0xAD100000010C34A95C39DF515AC0D0B9E88C71014440
540033,013-006146-091287,NULL,-105.21060085,40.05977829,6146,NULL, ,NULL,Willow, ,NULL, , ,6146 Willow , ,80301,NULL,NULL,2019-04-25 00:00:00.0000000,ACTIVE,NO CHANGE,Boulder,0xAD100000010C80E3FD7B7A4D5AC01022A2D0A6074440
540034,013-002600-091288,NULL,-105.26257647,40.03936364,2600,NULL, ,NULL,Sherwood, ,NULL, , ,2600 Sherwood ,Boulder,80304,NULL,NULL,2019-04-25 00:00:00.0000000,ACTIVE,NO CHANGE,Boulder,0xAD100000010CD48A850DCE505AC0D8D02DDE09054440
540035,013-004652-091289,NULL,-105.16097367,40.05974851,4652,NULL, ,NULL,Kirkwood, ,NULL, , ,4652 Kirkwood , ,80301,NULL,NULL,2019-04-25 00:00:00.0000000,ACTIVE,NO CHANGE,Boulder,0xAD100000010CB00A82644D4A5AC0F0A8DAD6A5074440
540036,013-000018-091290,NULL,-105.28241843,39.99670440,18,NULL, ,NULL,Kinnikinic, ,NULL, , ,18 Kinnikinic ,Boulder,80302,NULL,NULL,2019-04-25 00:00:00.0000000,ACTIVE,NO CHANGE,Boulder,0xAD100000010C7061C32413525AC0C8E3800294FF4340
540037,013-003715-091291,NULL,-105.24971187,39.96549716,3715,NULL, ,NULL,Smuggler, ,NULL, , ,3715 Smuggler ,Boulder,80305,NULL,NULL,2019-04-25 00:00:00.0000000,ACTIVE,NO CHANGE,Boulder,0xAD100000010C8CD77F47FB4F5AC0A8BB396995FB4340
540038,013-000810-091292,NULL,-105.24603829,39.98196859,810,NULL, ,NULL,S, ,NULL, , ,810 S ,Boulder,80305,NULL,NULL,2019-04-25 00:00:00.0000000,ACTIVE,NO CHANGE,Boulder,0xAD100000010C84216017BF4F5AC0702B9625B1FD4340
540039,013-001310-091293,NULL,-105.27588982,40.00701214,1310,NULL, ,NULL,College, ,NULL, , ,1310 College ,Boulder,80302,NULL,NULL,2019-04-25 00:00:00.0000000,ACTIVE,NO CHANGE,Boulder,0xAD100000010CFC66C42DA8515AC0D0650FC6E5004440
540040,013-000924-091294,NULL,-105.28373129,40.01803587,924,NULL, ,NULL,Spruce, ,NULL, , ,924 Spruce ,Boulder,80302,NULL,NULL,2019-04-25 00:00:00.0000000,ACTIVE,NO CHANGE,Boulder,0xAD100000010C18384EA728525AC0D00CDAFF4E024440
540041,013-000935-091295,NULL,-105.24869530,40.00442741,935,NULL, ,NULL,35Th, ,NULL, , ,935 35Th ,Boulder,80303,NULL,NULL,2019-04-25 00:00:00.0000000,ACTIVE,NO CHANGE,Boulder,0xAD100000010C0CE5AE9FEA4F5AC0B822C81391004440
540042,013-001101-091296,NULL,-105.27960300,40.01430126,1101,NULL, ,NULL,Arapahoe, ,NULL, , ,1101 Arapahoe ,Boulder,80302,NULL,NULL,2019-04-25 00:00:00.0000000,ACTIVE,NO CHANGE,Boulder,0xAD100000010C8011F903E5515AC0F0FEA99FD4014440
540043,013-001570-091297,NULL,-105.27752018,40.03441710,1570,NULL, ,NULL,Hawthorn, ,NULL, , ,1570 Hawthorn ,Boulder,80304,NULL,NULL,2019-04-25 00:00:00.0000000,ACTIVE,NO CHANGE,Boulder,0xAD100000010CFC5701E4C2515AC028DF86C767044440
540044,013-003680-091298,NULL,-105.28018130,40.04090221,3680,NULL, ,NULL,Aspen, ,NULL, , ,3680 Aspen ,Boulder,80304,NULL,NULL,2019-04-25 00:00:00.0000000,ACTIVE,NO CHANGE,Boulder,0xAD100000010CD81C8C7DEE515AC0608D92483C054440
540045,013-002315-091299,NULL,-105.26634253,40.02438261,2315,NULL, ,NULL,Mapleton, ,NULL, , ,2315 Mapleton ,Boulder,80304,NULL,NULL,2019-04-25 00:00:00.0000000,ACTIVE,NO CHANGE,Boulder,0xAD100000010C90F889C10B515AC008D421F81E034440
540046,013-000828-091300,NULL,-105.28461388,40.01676913,828,NULL, ,NULL,Pearl, ,NULL, , ,828 Pearl ,Boulder,80302,NULL,NULL,2019-04-25 00:00:00.0000000,ACTIVE,NO CHANGE,Boulder,0xAD100000010CD87F201D37525AC0209DAA7D25024440
540047,013-000759-091301,NULL,-105.26901215,40.00110823,759,NULL, ,NULL,19Th, ,NULL, , ,759 19Th ,Boulder,80302,NULL,NULL,2019-04-25 00:00:00.0000000,ACTIVE,NO CHANGE,Boulder,0xAD100000010CDC65B97E37515AC0A036795024004440
540048,013-002380-091302,NULL,-105.26528002,40.02677734,2380,NULL, ,NULL,Balsam, ,NULL, , ,2380 Balsam ,Boulder,80304,NULL,NULL,2019-04-25 00:00:00.0000000,ACTIVE,NO CHANGE,Boulder,0xAD100000010CE4650A59FA505AC08060A4706D034440
540049,013-000546-091303,NULL,-105.28744477,40.00613458,546,NULL, ,NULL,Geneva, ,NULL, , ,546 Geneva ,Boulder,80302,NULL,NULL,2019-04-25 00:00:00.0000000,ACTIVE,NO CHANGE,Boulder,0xAD100000010C58C9C17E65525AC048F19104C9004440
540050,013-004893-091304,NULL,-105.23973539,40.03340090,4893,NULL, ,NULL,Kings,Boulevard,NULL, , ,4893 Kings Boulevard ,Boulder,80301,NULL,NULL,2019-04-25 00:00:00.0000000,ACTIVE,NO CHANGE,Boulder,0xAD100000010CB8DC19D3574F5AC0D822087B46044440
540051,013-000042-091305,NULL,-105.23442687,39.98799697,42,NULL, ,NULL,Pima, ,NULL, , ,42 Pima ,Boulder,80303,NULL,NULL,2019-04-25 00:00:00.0000000,ACTIVE,NO CHANGE,Boulder,0xAD100000010C08FD8ED9004F5AC0C8A44DAF76FE4340
