"610070","-108.08284981","38.76917141","797"," "," ","","Genessee","Street"," "," "," ","797 Genessee Street ","Delta","","Delta"
"610071","-108.08279963","38.76897126","795"," "," ","","Genessee","Street"," "," "," ","795 Genessee Street ","Delta","","Delta"
"610072","-108.08278462","38.76830703","789"," "," ","","Genessee","Street"," "," "," ","789 Genessee Street ","Delta","","Delta"
"610073","-108.08279752","38.76810166","787"," "," ","","Genessee","Street"," "," "," ","787 Genessee Street ","Delta","","Delta"
"610074","-108.08279211","38.76786346","785"," "," ","","Genessee","Street"," "," "," ","785 Genessee Street ","Delta","","Delta"
"610075","-108.08276089","38.76761359","783"," "," ","","Genessee","Street"," "," "," ","783 Genessee Street ","Delta","","Delta"
"610076","-108.08133392","38.76830071","786"," "," ","","Dutton","Street"," "," "," ","786 Dutton Street ","Delta","","Delta"
"610077","-107.96252165","38.78731259","21432"," "," ","","Austin","Road"," "," "," ","21432 Austin Road ","Austin","","Delta"
"610078","-107.962131","38.78753437","21474"," "," ","","Austin","Road"," "," "," ","21474 Austin Road ","Austin","","Delta"
"610079","-107.94755681","38.78108322","22221"," "," ","","Canal","Street"," "," "," ","22221 Canal Street ","Austin","","Delta"
"610080","-107.95072059","38.82142235","22296"," "," ","","Antelope Hill","Road"," "," "," ","22296 Antelope Hill Road ","Austin","","Delta"
"610081","-107.97156627","38.80561003","10465"," "," ","","2100","Road"," "," "," ","10465 2100 Road ","Austin","","Delta"
"610082","-107.72683223","38.68120287","1178"," "," ","","3375","Road"," "," "," ","1178 3375 Road ","Crawford","","Delta"
"610083","-107.72217643","38.67787536","34016"," "," ","","B25","Road"," ",""," ","34016 B25 Road ","Crawford","","Delta"
"610084","-107.60622742","38.68177383","1383"," "," ","","Black Canyon","Road"," "," "," ","1383 Black Canyon Road ","Crawford","","Delta"
"610085","-107.64764584","38.67876729","37957"," "," ","","Fruitland Mesa","Road"," "," "," ","37957 Fruitland Mesa Road ","Crawford","","Delta"
"610086","-108.13921598","38.69329447","2241"," "," ","","1200","Road"," "," "," ","2241 1200 Road ","Delta","","Delta"
"610087","-108.05083955","38.680588","1113"," "," ","","1650","Road"," "," "," ","1113 1650 Road ","Delta","","Delta"
"610088","-108.05091337","38.68138033","1175"," "," ","","1650","Road"," "," "," ","1175 1650 Road ","Delta","","Delta"
"610089","-108.14706295","38.69382887","11215"," "," ","","25 Mesa","Road"," "," "," ","11215 25 Mesa Road ","Delta","","Delta"
