2400026,107-006900-019729,NULL,-107.30060753,40.52549913,6900,,,,Homesteader,Lane,,,,6900 Homesteader Lane ,NULL,NULL,NULL,NULL,2019-01-30 00:00:00.0000000,ACTIVE,NO CHANGE,Routt,0xAD100000010C207F5C273DD35AC0D890328E43434440
2400027,107-032805-019730,NULL,-106.90041832,40.39692203,32805,,,Cr,41,NULL,NULL,,,32805 Cr 41 ,NULL,NULL,NULL,NULL,2019-01-30 00:00:00.0000000,ACTIVE,NO CHANGE,Routt,0xAD100000010C805A2A74A0B95AC048405557CE324440
2400028,107-037500-019731,NULL,-106.98875085,40.46246864,37500,,,Cr,179,NULL,NULL,,,37500 Cr 179 ,NULL,NULL,NULL,NULL,2019-01-30 00:00:00.0000000,ACTIVE,NO CHANGE,Routt,0xAD100000010CD84EA7B147BF5AC0308E282C323B4440
2400029,107-023120-019732,NULL,-106.86484436,40.25393145,23120,,,,Schussmark,Trail,NULL,Townhome,D,23120 Schussmark Trail Townhome D,NULL,NULL,NULL,NULL,2019-01-30 00:00:00.0000000,ACTIVE,NO CHANGE,Routt,0xAD100000010C3C82279C59B75AC080FF5BD380204440
2400030,107-040525-019733,NULL,-106.91491708,40.50209306,40525,,,,Riverbend,Trail,,,,40525 Riverbend Trail ,NULL,NULL,NULL,NULL,2019-01-30 00:00:00.0000000,ACTIVE,NO CHANGE,Routt,0xAD100000010C30FE59008EBA5AC0D81FDC9544404440
2400031,107-000640-019734,NULL,-106.91216683,40.15584333,640,,,,Fourth Street,Court,NULL,,,640 Fourth Street Court ,NULL,NULL,NULL,NULL,2019-01-30 00:00:00.0000000,ACTIVE,NO CHANGE,Routt,0xAD100000010C04E9FCF060BA5AC0386AA3ACF2134440
2400032,107-027466-019735,NULL,-106.90532228,40.50289833,27466,,,,Brandon,Circle,,,,27466 Brandon Circle ,NULL,NULL,NULL,NULL,2019-01-30 00:00:00.0000000,ACTIVE,NO CHANGE,Routt,0xAD100000010CEC61DECCF0B95AC01848F4F85E404440
2400033,107-027552-019736,NULL,-106.90605740,40.51257302,27552,,,,Winchester,Trail,,,,27552 Winchester Trail ,NULL,NULL,NULL,NULL,2019-01-30 00:00:00.0000000,ACTIVE,NO CHANGE,Routt,0xAD100000010CFC652ED8FCB95AC0A88F1EFE9B414440
2400034,107-058000-019737,NULL,-106.83056558,40.76345212,58000,,,,Cowboy,Way,NULL,UNIT,F,58000 Cowboy Way UNIT F,NULL,NULL,NULL,NULL,2019-01-30 00:00:00.0000000,ACTIVE,NO CHANGE,Routt,0xAD100000010CC00A8CFC27B55AC0A06F8BCCB8614440
2400035,107-040315-019738,NULL,-106.90849819,40.50623141,40315,,,,Anchor,Way,,,,40315 Anchor Way ,NULL,NULL,NULL,NULL,2019-01-30 00:00:00.0000000,ACTIVE,NO CHANGE,Routt,0xAD100000010CB88E96D524BA5AC08885E130CC404440
2400036,107-040300-019739,NULL,-106.90788696,40.50618269,40300,,,,Anchor,Way,,,,40300 Anchor Way ,NULL,NULL,NULL,NULL,2019-01-30 00:00:00.0000000,ACTIVE,NO CHANGE,Routt,0xAD100000010CC844E6D11ABA5AC0B83B2398CA404440
2400037,107-035930-019740,NULL,-106.84066421,40.43745682,35930,,,,Agate Creek,Road,,,,35930 Agate Creek Road ,NULL,NULL,NULL,NULL,2019-01-30 00:00:00.0000000,ACTIVE,NO CHANGE,Routt,0xAD100000010CC4114071CDB55AC0003FD095FE374440
2400038,107-032550-019741,NULL,-106.94734126,40.41936388,32550,,,,Gray Hawk,Lane,NULL,,,32550 Gray Hawk Lane ,NULL,NULL,NULL,NULL,2019-01-30 00:00:00.0000000,ACTIVE,NO CHANGE,Routt,0xAD100000010CB8503A3DA1BC5AC0282837B7AD354440
2400039,107-031505-019742,NULL,-106.79365446,40.37702179,31505,,,,Gooseberry,Lane,,,,31505 Gooseberry Lane ,NULL,NULL,NULL,NULL,2019-01-30 00:00:00.0000000,ACTIVE,NO CHANGE,Routt,0xAD100000010C9081133CCBB25AC04068074042304440
2400040,107-000143-019743,NULL,-106.90841680,40.15230511,143,,,,Main,Street,,,,143 Main Street ,NULL,NULL,NULL,NULL,2019-01-30 00:00:00.0000000,ACTIVE,NO CHANGE,Routt,0xAD100000010C407D338023BA5AC028F8E7BB7E134440
2400041,107-000116-019744,NULL,-106.96463910,40.27534259,116,,,,Carbon,Avenue,,,,116 Carbon Avenue ,NULL,NULL,NULL,NULL,2019-01-30 00:00:00.0000000,ACTIVE,NO CHANGE,Routt,0xAD100000010C74A9A1A5BCBD5AC0402E076D3E234440
2400042,107-033625-019745,NULL,-106.79690550,40.34588395,33625,,,,Lone Pine,Trail,NULL,UNIT,B,33625 Lone Pine Trail UNIT B,NULL,NULL,NULL,NULL,2019-01-30 00:00:00.0000000,ACTIVE,NO CHANGE,Routt,0xAD100000010C8C7EF27F00B35AC0D8E0E0EC452C4440
2400043,107-058000-019746,NULL,-106.83000771,40.76308631,58000,,,,Cowboy,Way,NULL,UNIT,C,58000 Cowboy Way UNIT C,NULL,NULL,NULL,NULL,2019-01-30 00:00:00.0000000,ACTIVE,NO CHANGE,Routt,0xAD100000010C8C3FA5D81EB55AC0A879F7CFAC614440
2400044,107-040401-019747,NULL,-106.90928164,40.50896867,40401,,,,Anchor,Way,,,,40401 Anchor Way ,NULL,NULL,NULL,NULL,2019-01-30 00:00:00.0000000,ACTIVE,NO CHANGE,Routt,0xAD100000010C485E9AAB31BA5AC0986E9DE225414440
2400045,107-044095-019748,NULL,-106.99968096,40.55856583,44095,,,Cr,46,NULL,NULL,,,44095 Cr 46 ,NULL,NULL,NULL,NULL,2019-01-30 00:00:00.0000000,ACTIVE,NO CHANGE,Routt,0xAD100000010C14B4DDC5FABF5AC07867CC157F474440
2400046,107-074715-019749,NULL,-107.24560410,41.00102002,74715,,,Cr,129,NULL,NULL,,,74715 Cr 129 ,NULL,NULL,NULL,NULL,2019-01-30 00:00:00.0000000,ACTIVE,NO CHANGE,Routt,0xAD100000010C78F23CFAB7CF5AC098B6926C21804440
2400047,107-000261-019750,NULL,-106.91244015,40.15707118,261,,,,Fifth Street,Court,NULL,,,261 Fifth Street Court ,NULL,NULL,NULL,NULL,2019-01-30 00:00:00.0000000,ACTIVE,NO CHANGE,Routt,0xAD100000010CE8CD5C6B65BA5AC0503697E81A144440
2400048,107-026659-019751,NULL,-106.92471167,40.76307177,26659,,,,Willow Gulch,Drive,NULL,,,26659 Willow Gulch Drive ,NULL,NULL,NULL,NULL,2019-01-30 00:00:00.0000000,ACTIVE,NO CHANGE,Routt,0xAD100000010C085EDD792EBB5AC09096E955AC614440
2400049,107-000500-019752,NULL,-107.26293136,40.48739747,500,,South,,Poplar,Street,NULL,,,500 South Poplar Street ,NULL,NULL,NULL,NULL,2019-01-30 00:00:00.0000000,ACTIVE,NO CHANGE,Routt,0xAD100000010C18DA0ADED3D05AC05832550A633E4440
2400050,107-016555-019753,NULL,-106.73129150,40.15656857,16555,,,Cr,16,NULL,NULL,,,16555 Cr 16 ,NULL,NULL,NULL,NULL,2019-01-30 00:00:00.0000000,ACTIVE,NO CHANGE,Routt,0xAD100000010CEC15DD7ACDAE5AC0709A66700A144440
2400051,107-031150-019754,NULL,-106.84186172,40.74780723,31150,,,,Farwell,Lane,,,,31150 Farwell Lane ,NULL,NULL,NULL,NULL,2019-01-30 00:00:00.0000000,ACTIVE,NO CHANGE,Routt,0xAD100000010C3C91F70FE1B55AC048B9BC25B85F4440
2400052,107-037450-019755,NULL,-107.00275919,40.46575966,37450,,,,Saddle Mountain,Drive,NULL,,,37450 Saddle Mountain Drive ,NULL,NULL,NULL,NULL,2019-01-30 00:00:00.0000000,ACTIVE,NO CHANGE,Routt,0xAD100000010C2CA1E0342DC05AC0C8303C039E3B4440
2400053,107-000131-019756,NULL,-106.96005522,40.27216680,131,,West,,Virginia,Street,NULL,,,131 West Virginia Street ,NULL,NULL,NULL,NULL,2019-01-30 00:00:00.0000000,ACTIVE,NO CHANGE,Routt,0xAD100000010C4010738B71BD5AC0D8D29C5CD6224440
2400054,107-027970-019757,NULL,-106.90352055,40.14860564,27970,,,Cr,6D,NULL,NULL,,,27970 Cr 6D ,NULL,NULL,NULL,NULL,2019-01-30 00:00:00.0000000,ACTIVE,NO CHANGE,Routt,0xAD100000010C203BD947D3B95AC0580C788205134440
2400055,107-028330-019758,NULL,-106.89665107,40.15578736,28330,,,Cr,8,NULL,NULL,,,28330 Cr 8 ,NULL,NULL,NULL,NULL,2019-01-30 00:00:00.0000000,ACTIVE,NO CHANGE,Routt,0xAD100000010C34B02FBB62B95AC0482A18D7F0134440
2400056,107-000201-019759,NULL,-106.95623749,40.27916831,201,,,,Wild Hogg,Drive,NULL,Trailer,25,201 Wild Hogg Drive Trailer 25,NULL,NULL,NULL,NULL,2019-01-30 00:00:00.0000000,ACTIVE,NO CHANGE,Routt,0xAD100000010CB49DB9FE32BD5AC0500F89C9BB234440
2400057,107-001100-019760,NULL,-107.27245686,40.49459814,1100,,West,,Jefferson,Avenue,NULL,UNIT,41,1100 West Jefferson Avenue UNIT 41,NULL,NULL,NULL,NULL,2019-01-30 00:00:00.0000000,ACTIVE,NO CHANGE,Routt,0xAD100000010CD085E1EE6FD15AC0B8AFE5FD4E3F4440
2400058,107-031800-019761,NULL,-106.80122292,40.38373451,31800,,,,Preserve,Drive,South,,,31800 Preserve Drive South ,NULL,NULL,NULL,NULL,2019-01-30 00:00:00.0000000,ACTIVE,NO CHANGE,Routt,0xAD100000010C08A0803C47B35AC040D767361E314440
2400059,107-023690-019762,NULL,-106.98211660,40.48451840,23690,,,Us Hwy,40,NULL,NULL,,,23690 Us Hwy 40 ,NULL,NULL,NULL,NULL,2019-01-30 00:00:00.0000000,ACTIVE,NO CHANGE,Routt,0xAD100000010C94AF98FFDABE5AC00002EBB2043E4440
2400060,107-027679-019763,NULL,-106.90546018,40.36862080,27679,,,,Whitecotton,Lane,,,,27679 Whitecotton Lane ,NULL,NULL,NULL,NULL,2019-01-30 00:00:00.0000000,ACTIVE,NO CHANGE,Routt,0xAD100000010C883B410FF3B95AC018E76CF72E2F4440
2400061,107-030750-019764,NULL,-106.83971075,40.36459082,30750,,,Cr,14E,NULL,NULL,,,30750 Cr 14E ,NULL,NULL,NULL,NULL,2019-01-30 00:00:00.0000000,ACTIVE,NO CHANGE,Routt,0xAD100000010CDC0A24D2BDB55AC030926FE9AA2E4440
2400062,107-058165-019765,NULL,-106.92010481,40.76419990,58165,,,,Jupiter,Place,,,,58165 Jupiter Place ,NULL,NULL,NULL,NULL,2019-01-30 00:00:00.0000000,ACTIVE,NO CHANGE,Routt,0xAD100000010CE4F548FFE2BA5AC0609C5E4DD1614440
2400063,107-031335-019766,NULL,-106.93223761,40.37453333,31335,,,,Deerwood Ranch,Road,NULL,,,31335 Deerwood Ranch Road ,NULL,NULL,NULL,NULL,2019-01-30 00:00:00.0000000,ACTIVE,NO CHANGE,Routt,0xAD100000010CA48AECC7A9BB5AC0D88245B5F02F4440
2400064,107-040570-019767,NULL,-106.90701361,40.50800889,40570,,,,Steamboat,Drive,,,,40570 Steamboat Drive ,NULL,NULL,NULL,NULL,2019-01-30 00:00:00.0000000,ACTIVE,NO CHANGE,Routt,0xAD100000010C084AD4820CBA5AC01076726F06414440
2400065,107-027769-019768,NULL,-106.90116310,40.51332763,27769,,,,Silver Spur,Street,NULL,,,27769 Silver Spur Street ,NULL,NULL,NULL,NULL,2019-01-30 00:00:00.0000000,ACTIVE,NO CHANGE,Routt,0xAD100000010CAC0203A8ACB95AC028EF49B8B4414440
2400066,107-021485-019769,NULL,-107.02200362,40.48539917,21485,,,Us Hwy,40,NULL,NULL,,,21485 Us Hwy 40 ,NULL,NULL,NULL,NULL,2019-01-30 00:00:00.0000000,ACTIVE,NO CHANGE,Routt,0xAD100000010C2C71E48168C15AC02897518F213E4440
2400067,107-034000-019770,NULL,-106.78666977,40.45469191,34000,,,Fsr,321,,,,,34000 Fsr 321 ,NULL,NULL,NULL,NULL,2019-01-30 00:00:00.0000000,ACTIVE,NO CHANGE,Routt,0xAD100000010C346E25CC58B25AC0D84E2D58333A4440
2400068,107-044400-019771,NULL,-106.90955598,40.56519093,44400,,,,Diamondback,Way,,,,44400 Diamondback Way ,NULL,NULL,NULL,NULL,2019-01-30 00:00:00.0000000,ACTIVE,NO CHANGE,Routt,0xAD100000010CE8EB472A36BA5AC0482C282D58484440
2400069,107-032855-019772,NULL,-106.80833069,40.04531134,32855,,,Cr,5,NULL,NULL,,,32855 Cr 5 ,NULL,NULL,NULL,NULL,2019-01-30 00:00:00.0000000,ACTIVE,NO CHANGE,Routt,0xAD100000010C4CC5A9B0BBB35AC0D0460BC3CC054440
2400070,107-058325-019773,NULL,-106.92819484,40.76862482,58325,,,Cr,129,NULL,NULL,,,58325 Cr 129 ,NULL,NULL,NULL,NULL,2019-01-30 00:00:00.0000000,ACTIVE,NO CHANGE,Routt,0xAD100000010CC84E518B67BB5AC0201A4C4C62624440
2400071,107-040535-019774,NULL,-106.90588287,40.50833106,40535,,,,North Star,Place,NULL,,,40535 North Star Place ,NULL,NULL,NULL,NULL,2019-01-30 00:00:00.0000000,ACTIVE,NO CHANGE,Routt,0xAD100000010CE43C26FCF9B95AC060D3FAFD10414440
2400072,107-030890-019775,NULL,-106.84758737,40.42828595,30890,,,,Chickadee,Lane,,,,30890 Chickadee Lane ,NULL,NULL,NULL,NULL,2019-01-30 00:00:00.0000000,ACTIVE,NO CHANGE,Routt,0xAD100000010CC4A918DF3EB65AC018E2FA12D2364440
2400073,107-000107-019776,NULL,-106.95299467,40.27553237,107,,South,,Grant,Avenue,NULL,,,107 South Grant Avenue ,NULL,NULL,NULL,NULL,2019-01-30 00:00:00.0000000,ACTIVE,NO CHANGE,Routt,0xAD100000010CE4855FDDFDBC5AC098A004A544234440
