"1740116","-107.75654784","38.15057331","195"," ","South","","Lena","Street"," "," "," ","195 South Lena Street ","Ridgway","","Ouray"
"1740117","-107.67768345","38.01817206","300"," "," ","","Box Canyon","Drive"," "," "," ","300 Box Canyon Drive ","Ouray","","Ouray"
"1740118","-107.75575988","38.15582846","401"," "," ","","Otto","Street"," "," "," ","401 Otto Street ","Ridgway","","Ouray"
"1740119","-107.67170852","38.02319643","614"," "," ","","Main","Street"," "," "," ","614 Main Street ","Ouray","","Ouray"
"1740120","-107.66970436","38.02324311","621"," "," ","","4Th","Street"," "," "," ","621 4Th Street ","Ouray","","Ouray"
"1740121","-107.67040556","38.02326205","622"," "," ","","4Th","Street"," "," "," ","622 4Th Street ","Ouray","","Ouray"
"1740122","-107.67535302","38.0231312","610"," "," ","","Oak","Street"," "," "," ","610 Oak Street ","Ouray","","Ouray"
"1740123","-107.66783528","38.0230014","540"," "," ","","6Th","Avenue"," "," "," ","540 6Th Avenue ","Ouray","","Ouray"
"1740124","-107.67126288","38.02329766","621"," "," ","","Main","Street"," "," "," ","621 Main Street ","Ouray","","Ouray"
"1740125","-107.6738311","38.02324549","114","1/2"," ","","6Th","Avenue"," "," "," ","114 1/2 6Th Avenue ","Ouray","","Ouray"
"1740126","-107.67171464","38.02331425","620"," "," ","","Main","Street"," "," "," ","620 Main Street ","Ouray","","Ouray"
"1740127","-107.6697986","38.02337492","629"," "," ","","4Th","Street"," "," "," ","629 4Th Street ","Ouray","","Ouray"
"1740128","-107.67069782","38.02340101","628","1/2"," ","","4Th","Street"," "," "," ","628 1/2 4Th Street ","Ouray","","Ouray"
"1740129","-107.67036222","38.02337463","628"," "," ","","4Th","Street"," "," "," ","628 4Th Street ","Ouray","","Ouray"
"1740130","-107.67470913","38.01999426","50"," "," ","","3Rd","Avenue"," "," "," ","50 3Rd Avenue ","Ouray","","Ouray"
"1740131","-107.67261954","38.02011042","331"," "," ","","2Nd","Street"," "," "," ","331 2Nd Street ","Ouray","","Ouray"
"1740132","-107.67034619","38.02018301","334"," "," ","","4Th","Street"," "," "," ","334 4Th Street ","Ouray","","Ouray"
"1740133","-107.67602637","38.02028015","306","1/2"," ","","Oak","Street"," "," "," ","306 1/2 Oak Street ","Ouray","","Ouray"
"1740134","-107.66761448","38.02025076","338"," "," ","","6Th","Street"," "," "," ","338 6Th Street ","Ouray","","Ouray"
"1740135","-107.6677979","38.02023623","539"," "," ","","4Th","Avenue"," "," "," ","539 4Th Avenue ","Ouray","","Ouray"
"1740136","-107.66793491","38.02024476","535"," "," ","","4Th","Avenue"," "," "," ","535 4Th Avenue ","Ouray","","Ouray"
"1740137","-107.67261781","38.02024573","339"," "," ","","2Nd","Street"," "," "," ","339 2Nd Street ","Ouray","","Ouray"
"1740138","-107.66837506","38.020358","347"," "," ","","5Th","Street"," "," "," ","347 5Th Street ","Ouray","","Ouray"
"1740139","-107.67705974","38.0200634","401"," "," ","","Pinecrest","Drive"," "," "," ","401 Pinecrest Drive ","Ouray","","Ouray"
"1740140","-107.66905946","38.02035188","344"," "," ","","5Th","Street"," "," "," ","344 5Th Street ","Ouray","","Ouray"
"1740141","-107.66983006","38.02038731","343"," "," ","","4Th","Street"," "," "," ","343 4Th Street ","Ouray","","Ouray"
"1740142","-107.67035419","38.02037198","340"," "," ","","4Th","Street"," "," "," ","340 4Th Street ","Ouray","","Ouray"
"1740143","-107.67067959","38.02037011","327"," "," ","","4Th","Avenue"," "," "," ","327 4Th Avenue ","Ouray","","Ouray"
"1740144","-107.66629367","38.02015816","333"," "," ","","Easy","Street"," "," "," ","333 Easy Street ","Ouray","","Ouray"
"1740145","-107.67448727","38.02023248","55"," "," ","","4Th","Avenue"," "," "," ","55 4Th Avenue ","Ouray","","Ouray"
"1740146","-107.67100416","38.02038305","315"," "," ","","4Th","Avenue"," "," "," ","315 4Th Avenue ","Ouray","","Ouray"
"1740147","-107.67735723","38.02022862","390"," "," ","","Pinecrest","Drive"," "," "," ","390 Pinecrest Drive ","Ouray","","Ouray"
"1740148","-107.67177241","38.0202401","338"," "," ","","Main","Street"," "," "," ","338 Main Street ","Ouray","","Ouray"
"1740149","-107.67563859","38.02038061","308"," "," ","","Oak","Street"," "," "," ","308 Oak Street ","Ouray","","Ouray"
"1740150","-107.67627283","38.01985072","300"," "," ","","Oak","Street"," "," "," ","300 Oak Street ","Ouray","","Ouray"
"1740151","-107.67612258","38.02041929","10"," "," ","","Oak Creek","Lane"," "," "," ","10 Oak Creek Lane ","Ouray","","Ouray"
"1740152","-107.66617549","38.02056665","355"," "," ","","Easy","Street"," "," "," ","355 Easy Street ","Ouray","","Ouray"
"1740153","-107.66672522","38.02052592","401","1/2"," ","","6Th","Street"," "," "," ","401 1/2 6Th Street ","Ouray","","Ouray"
"1740154","-107.66696052","38.02054741","401"," "," ","","6Th","Street"," "," "," ","401 6Th Street ","Ouray","","Ouray"
