2100026,039-010608-346339,NULL,-104.76761921,38.98542875,10608, ,,,Leadville Creek,Point,,,,10608 Leadville Creek Point ,Colorado Springs,80908,NULL,NULL,2018-06-21 00:00:00.0000000,ACTIVE,MODIFY ATTRIBUTE,ElPaso,0xAD100000010C48634EAC20315AC030568587227E4340
2100027,039-014795-346340,NULL,-104.79835291,39.04631280,14795, ,,,Sun Hills,Drive,,,,14795 Sun Hills Drive ,Colorado Springs,80921,NULL,NULL,2018-06-21 00:00:00.0000000,ACTIVE,MODIFY ATTRIBUTE,ElPaso,0xAD100000010CF412D23618335AC038D7EE93ED854340
2100028,039-019010-346341,NULL,-104.82845644,39.10644699,19010, ,,,Deerfield,Road,,,,19010 Deerfield Road ,Monument,80132,NULL,NULL,2018-06-21 00:00:00.0000000,ACTIVE,MODIFY ATTRIBUTE,ElPaso,0xAD100000010C98EA276E05355AC0288D140EA08D4340
2100029,039-014080-346342,NULL,-104.78065968,39.03768973,14080, ,,,Shadow Pines,Road,,,,14080 Shadow Pines Road ,Colorado Springs,80921,NULL,NULL,2018-06-21 00:00:00.0000000,ACTIVE,MODIFY ATTRIBUTE,ElPaso,0xAD100000010C78050954F6315AC068766704D3844340
2100030,039-012260-346343,NULL,-104.58059650,39.00453979,12260, ,,,Conestoga,Trail,North,,,12260 Conestoga Trail North ,Elbert County,80106,NULL,NULL,2018-06-21 00:00:00.0000000,ACTIVE,MODIFY ATTRIBUTE,ElPaso,0xAD100000010C64493E7E28255AC0A03B8BC294804340
2100031,039-010810-346344,NULL,-104.76898712,38.98608396,10810, ,,,Creede Creek,Point,,,,10810 Creede Creek Point ,Colorado Springs,80908,NULL,NULL,2018-06-21 00:00:00.0000000,ACTIVE,MODIFY ATTRIBUTE,ElPaso,0xAD100000010CE03AC61537315AC080CDCDFF377E4340
2100032,039-010614-346345,NULL,-104.76766776,38.98548175,10614, ,,,Leadville Creek,Point,,,,10614 Leadville Creek Point ,Colorado Springs,80908,NULL,NULL,2018-06-21 00:00:00.0000000,ACTIVE,MODIFY ATTRIBUTE,ElPaso,0xAD100000010CCC7AEF7721315AC048CA0C44247E4340
2100033,039-003306-346346,NULL,-104.76814604,38.98585100,3306, ,,,Ironton Creek,Point,,,,3306 Ironton Creek Point ,Colorado Springs,80908,NULL,NULL,2018-06-21 00:00:00.0000000,ACTIVE,MODIFY ATTRIBUTE,ElPaso,0xAD100000010C8416024E29315AC058749E5D307E4340
2100034,039-010730-346347,NULL,-104.76859661,38.98586597,10730, ,,,Horseshoe Creek,Point,,,,10730 Horseshoe Creek Point ,Colorado Springs,80908,NULL,NULL,2018-06-21 00:00:00.0000000,ACTIVE,MODIFY ATTRIBUTE,ElPaso,0xAD100000010C68B8D2AF30315AC0A0D72BDB307E4340
2100035,039-001065-346348,NULL,-104.84676946,39.09970191,1065, ,,,Lake Woodmoor,Drive,,,,1065 Lake Woodmoor Drive ,Monument,80132,NULL,NULL,2018-06-21 00:00:00.0000000,ACTIVE,MODIFY ATTRIBUTE,ElPaso,0xAD100000010CE47C887831365AC040CF3408C38C4340
