200028,001-007115-346551,NULL,-104.90620889,39.79373933,7115,NULL,East,NULL,53Rd,Place,NULL,NULL, ,7115 East 53Rd Place ,NULL,NULL,NULL,NULL,2019-02-12 00:00:00.0000000,ACTIVE,NO CHANGE,Adams,0xAD100000010CC0C49653FF395AC0D8181A4099E54340
200029,001-006395-346552,NULL,-104.91321285,39.81260616,6395,NULL, ,NULL,Monaco,Street,NULL,NULL, ,6395 Monaco Street ,NULL,NULL,NULL,NULL,2019-02-12 00:00:00.0000000,ACTIVE,NO CHANGE,Adams,0xAD100000010CC0A05414723A5AC0F86B827A03E84340
200030,001-005940-346553,NULL,-104.91916720,39.81260789,5940,NULL,East,NULL,64Th,Avenue,NULL,NULL, ,5940 East 64Th Avenue ,NULL,NULL,NULL,NULL,2019-02-12 00:00:00.0000000,ACTIVE,NO CHANGE,Adams,0xAD100000010C1098A5A2D33A5AC0C8020C8903E84340
200031,001-006100-346554,NULL,-104.91803407,39.80017594,6100,NULL,East,NULL,58Th,Avenue,NULL,NULL, ,6100 East 58Th Avenue ,NULL,NULL,NULL,NULL,2019-02-12 00:00:00.0000000,ACTIVE,NO CHANGE,Adams,0xAD100000010C3C98F511C13A5AC0103B442A6CE64340
200032,001-006140-346555,NULL,-104.91678731,39.81264317,6140,NULL,East,NULL,64Th,Avenue,NULL,NULL, ,6140 East 64Th Avenue ,NULL,NULL,NULL,NULL,2019-02-12 00:00:00.0000000,ACTIVE,NO CHANGE,Adams,0xAD100000010C182AAAA4AC3A5AC068F0FAB004E84340
200033,001-005800-346556,NULL,-104.91947584,39.81251443,5800,NULL,East,NULL,64Th,Avenue,NULL,NULL, ,5800 East 64Th Avenue ,NULL,NULL,NULL,NULL,2019-02-12 00:00:00.0000000,ACTIVE,NO CHANGE,Adams,0xAD100000010CC49031B1D83A5AC0A80A0A7900E84340
200034,001-005790-346557,NULL,-104.92017403,39.81247459,5790,NULL,East,NULL,64Th,Avenue,NULL,NULL, ,5790 East 64Th Avenue ,NULL,NULL,NULL,NULL,2019-02-12 00:00:00.0000000,ACTIVE,NO CHANGE,Adams,0xAD100000010C00BDA221E43A5AC0C8D9CF2AFFE74340
200035,001-007021-346558,NULL,-104.90660139,39.81327209,7021,NULL,East,NULL,64Th,Avenue,NULL,NULL, ,7021 East 64Th Avenue ,NULL,NULL,NULL,NULL,2019-02-12 00:00:00.0000000,ACTIVE,NO CHANGE,Adams,0xAD100000010C1882DBC1053A5AC0580FBA4C19E84340
200036,001-005850-346559,NULL,-104.92124604,39.80339405,5850,NULL, ,NULL,Holly,Street,NULL,NULL, ,5850 Holly Street ,NULL,NULL,NULL,NULL,2019-02-12 00:00:00.0000000,ACTIVE,NO CHANGE,Adams,0xAD100000010C001FF0B1F53A5AC008FBBC9DD5E64340
200037,001-005850-346560,NULL,-104.92168786,39.80294312,5850,NULL, ,NULL,Holly,Street,NULL,NULL, ,5850 Holly Street ,NULL,NULL,NULL,NULL,2019-02-12 00:00:00.0000000,ACTIVE,NO CHANGE,Adams,0xAD100000010C5C0715EFFC3A5AC0A85312D7C6E64340
200038,001-006540-346561,NULL,-104.91483805,39.81574613,6540,NULL, ,NULL,Leyden,Street,NULL,NULL, ,6540 Leyden Street ,NULL,NULL,NULL,NULL,2019-02-12 00:00:00.0000000,ACTIVE,NO CHANGE,Adams,0xAD100000010C1CD7E9B48C3A5AC0605B785E6AE84340
200039,001-005431-346562,NULL,-104.90402589,39.79471596,5431,NULL, ,NULL,Quebec,Street,NULL,NULL, ,5431 Quebec Street ,NULL,NULL,NULL,NULL,2019-02-12 00:00:00.0000000,ACTIVE,NO CHANGE,Adams,0xAD100000010C4025698FDB395AC0600DAB40B9E54340
200040,001-005431-346563,NULL,-104.90404840,39.79441455,5431,NULL, ,NULL,Quebec,Street,NULL,NULL, ,5431 Quebec Street ,NULL,NULL,NULL,NULL,2019-02-12 00:00:00.0000000,ACTIVE,NO CHANGE,Adams,0xAD100000010C8CB4CDEDDB395AC0B8443760AFE54340
