"1416209","-107.82044991","37.20243924","888",""," ","Cr","301"," ","",""," ","888 Cr 301 ","","","La Plata"
"1416210","-107.75021614","37.20493764","2062",""," ","Cr","222"," ","",""," ","2062 Cr 222 ","","","La Plata"
"1416211","-107.86303365","37.20194484","10498",""," ","Cr","213"," ","",""," ","10498 Cr 213 ","","","La Plata"
"1416212","-107.64206316","37.20651947","8309",""," ","Cr","510"," ","",""," ","8309 Cr 510 ","","","La Plata"
"1416213","-107.86407699","37.20207934","10495",""," ","Cr","213"," ","",""," ","10495 Cr 213 ","","","La Plata"
"1416214","-107.75330199","37.2043937","2064",""," ","Cr","222"," ","",""," ","2064 Cr 222 ","","","La Plata"
"1416215","-107.82101712","37.20386497","796",""," ","Cr","301"," ","",""," ","796 Cr 301 ","","","La Plata"
"1416216","-107.5764575","37.20829862","7371",""," ","Cr","523"," ","",""," ","7371 Cr 523 ","","","La Plata"
"1416217","-107.81816173","37.2037195","668",""," ","Cr","301"," ","",""," ","668 Cr 301 ","","","La Plata"
"1416218","-107.60546252","37.20766026","5273",""," ","Cr","516"," ","",""," ","5273 Cr 516 ","","","La Plata"
"1416219","-107.86352126","37.20269021","10537",""," ","Cr","213"," ","",""," ","10537 Cr 213 ","","","La Plata"
"1416220","-107.55098344","37.2087945","5541",""," ","Cr","523"," ","",""," ","5541 Cr 523 ","","","La Plata"
"1416221","-107.75253966","37.20562239","2056",""," ","Cr","222"," ","",""," ","2056 Cr 222 ","","","La Plata"
"1416222","-107.86299303","37.20322387","10585",""," ","Cr","213"," ","",""," ","10585 Cr 213 ","","","La Plata"
"1416223","-107.82273992","37.20462127","699",""," ","Cr","301"," ","",""," ","699 Cr 301 ","","","La Plata"
"1416224","-107.81811807","37.20527771","662",""," ","Cr","301"," ","",""," ","662 Cr 301 ","","","La Plata"
"1416225","-107.81821936","37.20525383","660",""," ","Cr","301"," ","",""," ","660 Cr 301 ","","","La Plata"
"1416226","-107.86275236","37.20380191","10687",""," ","Cr","213"," ","",""," ","10687 Cr 213 ","","","La Plata"
"1416227","-107.56484232","37.20978994","6609",""," ","Cr","523"," ","",""," ","6609 Cr 523 ","","","La Plata"
"1416228","-107.54286343","37.21063144","496",""," ","Cr","525"," ","",""," ","496 Cr 525 ","","","La Plata"
"1416229","-107.78462507","37.20596173","4426",""," ","Cr","222"," ","",""," ","4426 Cr 222 ","","","La Plata"
"1416230","-107.689105","37.20735665","4915",""," ","Cr","510"," ","",""," ","4915 Cr 510 ","","","La Plata"
"1416231","-107.86220046","37.20468166","10689",""," ","Cr","213"," ","",""," ","10689 Cr 213 ","","","La Plata"
