"490082","-104.82675183","39.66880334","2670"," ","South"," ","Abilene","Street"," ","APT","226E","2670 South Abilene Street APT 226E","Aurora","80014","Arapahoe"
"490083","-104.82716373","39.66866399","2670"," ","South"," ","Abilene","Street"," ","APT","210W","2670 South Abilene Street APT 210W","Aurora","80014","Arapahoe"
"490084","-104.82716373","39.66866399","2670"," ","South"," ","Abilene","Street","West ",""," ","2670 South Abilene Street West ","Aurora","80014","Arapahoe"
"490085","-104.82721221","39.66830585","13801"," ","East"," ","Yale","Avenue"," ","APT","112","13801 East Yale Avenue APT 112","Aurora","80014","Arapahoe"
"490086","-104.82721221","39.66830585","13801"," ","East"," ","Yale","Avenue"," ","APT","130","13801 East Yale Avenue APT 130","Aurora","80014","Arapahoe"
"490087","-104.82721221","39.66830585","13801"," ","East"," ","Yale","Avenue"," ","APT","203","13801 East Yale Avenue APT 203","Aurora","80014","Arapahoe"
"490088","-104.82721221","39.66830585","13801"," ","East"," ","Yale","Avenue"," ","APT","327","13801 East Yale Avenue APT 327","Aurora","80014","Arapahoe"
"490089","-104.82721221","39.66830585","13801"," ","East"," ","Yale","Avenue"," ","APT","409","13801 East Yale Avenue APT 409","Aurora","80014","Arapahoe"
"490090","-104.82721221","39.66830585","13801"," ","East"," ","Yale","Avenue"," ","APT","501","13801 East Yale Avenue APT 501","Aurora","80014","Arapahoe"
"490091","-104.82675183","39.66880334","2670"," ","South"," ","Abilene","Street"," ","APT","111E","2670 South Abilene Street APT 111E","Aurora","80014","Arapahoe"
"490092","-104.82716373","39.66866399","2670"," ","South"," ","Abilene","Street"," ","APT","119W","2670 South Abilene Street APT 119W","Aurora","80014","Arapahoe"
"490093","-104.82716373","39.66866399","2670"," ","South"," ","Abilene","Street"," ","APT","206W","2670 South Abilene Street APT 206W","Aurora","80014","Arapahoe"
"490094","-104.82578244","39.66814926","13956"," ","East"," ","Vassar","Avenue"," ","APT","103","13956 East Vassar Avenue APT 103","Aurora","80014","Arapahoe"
"490095","-104.82578244","39.66814926","13956"," ","East"," ","Vassar","Avenue"," ","APT","209","13956 East Vassar Avenue APT 209","Aurora","80014","Arapahoe"
"490096","-104.82483453","39.66815069","14056"," ","East"," ","Vassar","Avenue"," ","APT","202","14056 East Vassar Avenue APT 202","Aurora","80014","Arapahoe"
"490097","-104.82423598","39.66815017","14076"," ","East"," ","Vassar","Avenue"," ","APT","207","14076 East Vassar Avenue APT 207","Aurora","80014","Arapahoe"
"490098","-104.82423771","39.66884025","14096"," ","East"," ","Vassar","Avenue"," ","APT","207","14096 East Vassar Avenue APT 207","Aurora","80014","Arapahoe"
"490099","-104.82518783","39.66884148","13996"," ","East"," ","Vassar","Avenue"," ","APT","205","13996 East Vassar Avenue APT 205","Aurora","80014","Arapahoe"
"490100","-104.82509882","39.6696049","2598"," ","South"," ","Anaheim","Street"," ","APT","204","2598 South Anaheim Street APT 204","Aurora","80014","Arapahoe"
"490101","-104.82443276","39.6696078","2597"," ","South"," ","Blackhawk","Street"," ","APT","205","2597 South Blackhawk Street APT 205","Aurora","80014","Arapahoe"
"490102","-104.82510387","39.66998573","2578"," ","South"," ","Anaheim","Street"," ","APT","203","2578 South Anaheim Street APT 203","Aurora","80014","Arapahoe"
"490103","-104.82443084","39.67028758","2557"," ","South"," ","Blackhawk","Street"," ","APT","201","2557 South Blackhawk Street APT 201","Aurora","80014","Arapahoe"
"490104","-104.82510202","39.67065955","2538"," ","South"," ","Anaheim","Street"," ","APT","301","2538 South Anaheim Street APT 301","Aurora","80014","Arapahoe"
"490105","-104.82495714","39.67140663","14010"," ","East"," ","Harvard","Place"," ","APT","216","14010 East Harvard Place APT 216","Aurora","80014","Arapahoe"
"490106","-104.82495714","39.67140663","14010"," ","East"," ","Harvard","Place"," ","APT","323","14010 East Harvard Place APT 323","Aurora","80014","Arapahoe"
"490107","-104.82495714","39.67140663","14010"," ","East"," ","Harvard","Place"," ","APT","428","14010 East Harvard Place APT 428","Aurora","80014","Arapahoe"
"490108","-104.82578244","39.66814926","13956"," ","East"," ","Vassar","Avenue"," ","APT","105","13956 East Vassar Avenue APT 105","Aurora","80014","Arapahoe"
"490109","-104.82578244","39.66814926","13956"," ","East"," ","Vassar","Avenue"," ","APT","205","13956 East Vassar Avenue APT 205","Aurora","80014","Arapahoe"
"490110","-104.82483453","39.66815069","14056"," ","East"," ","Vassar","Avenue"," ","APT","305","14056 East Vassar Avenue APT 305","Aurora","80014","Arapahoe"
"490111","-104.82423598","39.66815017","14076"," ","East"," ","Vassar","Avenue"," ","APT","101","14076 East Vassar Avenue APT 101","Aurora","80014","Arapahoe"
"490112","-104.82423598","39.66815017","14076"," ","East"," ","Vassar","Avenue"," ","APT","201","14076 East Vassar Avenue APT 201","Aurora","80014","Arapahoe"
"490113","-104.82518783","39.66884148","13996"," ","East"," ","Vassar","Avenue"," ","APT","303","13996 East Vassar Avenue APT 303","Aurora","80014","Arapahoe"
"490114","-104.82578638","39.66884125","13936"," ","East"," ","Vassar","Avenue"," ","APT","102","13936 East Vassar Avenue APT 102","Aurora","80014","Arapahoe"
"490115","-104.82578244","39.66814926","13956"," ","East"," ","Vassar","Avenue"," ","APT","215","13956 East Vassar Avenue APT 215","Aurora","80014","Arapahoe"
"490116","-104.82483453","39.66815069","14056"," ","East"," ","Vassar","Avenue"," ","APT","208","14056 East Vassar Avenue APT 208","Aurora","80014","Arapahoe"
"490117","-104.82483453","39.66815069","14056"," ","East"," ","Vassar","Avenue"," ","APT","302","14056 East Vassar Avenue APT 302","Aurora","80014","Arapahoe"
"490118","-104.82483453","39.66815069","14056"," ","East"," ","Vassar","Avenue"," ","APT","306","14056 East Vassar Avenue APT 306","Aurora","80014","Arapahoe"
"490119","-104.82423598","39.66815017","14076"," ","East"," ","Vassar","Avenue"," ","APT","303","14076 East Vassar Avenue APT 303","Aurora","80014","Arapahoe"
"490120","-104.82518783","39.66884148","13996"," ","East"," ","Vassar","Avenue"," ","APT","207","13996 East Vassar Avenue APT 207","Aurora","80014","Arapahoe"
