420028,005-006014-446205,NULL,-105.01590650,39.60747020,6014, ,South, ,Prince,Street, ,NULL, ,6014 South Prince Street ,Littleton Co,80120, , ,2019-04-24 00:00:00.0000000,ACTIVE,MODIFY LOCATION,Arapahoe,0xAD100000010CCC52B29C04415AC000976795C1CD4340
420029,005-006080-446206,NULL,-105.01601658,39.60658256,6080, ,South, ,Prince,Street, ,NULL, ,6080 South Prince Street ,Littleton Co,80120, , ,2019-04-24 00:00:00.0000000,ACTIVE,MODIFY LOCATION,Arapahoe,0xAD100000010CE8BF666A06415AC0D8E8527FA4CD4340
420030,005-006084-446207,NULL,-105.01601528,39.60652300,6084, ,South, ,Prince,Street, ,NULL, ,6084 South Prince Street ,Littleton Co,80120, , ,2019-04-24 00:00:00.0000000,ACTIVE,MODIFY LOCATION,Arapahoe,0xAD100000010CC0CFF16406415AC0D00BA88BA2CD4340
420031,005-006314-446208,NULL,-105.01603907,39.60225445,6314, ,South, ,Prince,Street, ,NULL, ,6314 South Prince Street ,Littleton Co,80120, , ,2019-04-24 00:00:00.0000000,ACTIVE,MODIFY LOCATION,Arapahoe,0xAD100000010CAC6CBEC806415AC0704F7FAC16CD4340
420032,005-006324-446209,NULL,-105.01603951,39.60219146,6324, ,South, ,Prince,Street, ,NULL, ,6324 South Prince Street ,Littleton Co,80120, , ,2019-04-24 00:00:00.0000000,ACTIVE,MODIFY LOCATION,Arapahoe,0xAD100000010CB06D90CA06415AC0F82A179C14CD4340
420033,005-006334-446210,NULL,-105.01604041,39.60207837,6334, ,South, ,Prince,Street, ,NULL, ,6334 South Prince Street ,Littleton Co,80120, , ,2019-04-24 00:00:00.0000000,ACTIVE,MODIFY LOCATION,Arapahoe,0xAD100000010C70045ACE06415AC0C0FA76E710CD4340
420034,005-006344-446211,NULL,-105.01604085,39.60201470,6344, ,South, ,Prince,Street, ,NULL, ,6344 South Prince Street ,Littleton Co,80120, , ,2019-04-24 00:00:00.0000000,ACTIVE,MODIFY LOCATION,Arapahoe,0xAD100000010CF45030D006415AC050F551D10ECD4340
420035,005-000556-446212,NULL,-104.99472281,39.62112744,556, ,West, ,Progress,Avenue, ,NULL, ,556 West Progress Avenue ,Littleton Co,80120, , ,2019-04-24 00:00:00.0000000,ACTIVE,MODIFY LOCATION,Arapahoe,0xAD100000010C4062DC89A93F5AC0A82AA31A81CF4340
420036,005-000566-446213,NULL,-104.99479866,39.62112890,566, ,West, ,Progress,Avenue, ,NULL, ,566 West Progress Avenue ,Littleton Co,80120, , ,2019-04-24 00:00:00.0000000,ACTIVE,MODIFY LOCATION,Arapahoe,0xAD100000010C20EC02C8AA3F5AC0A09BD52681CF4340
420037,005-000596-446214,NULL,-104.99504406,39.62113913,596, ,West, ,Progress,Avenue, ,NULL, ,596 West Progress Avenue ,Littleton Co,80120, , ,2019-04-24 00:00:00.0000000,ACTIVE,MODIFY LOCATION,Arapahoe,0xAD100000010CBC0449CDAE3F5AC0E0CEAC7C81CF4340
420038,005-000586-446215,NULL,-104.99497112,39.62113825,586, ,West, ,Progress,Avenue, ,NULL, ,586 West Progress Avenue ,Littleton Co,80120, , ,2019-04-24 00:00:00.0000000,ACTIVE,MODIFY LOCATION,Arapahoe,0xAD100000010CF46F5C9BAD3F5AC00077517581CF4340
