1730053,085-067243-035558,NULL,-107.83388341,38.49284411,67243, , ,NULL,Locust,Road, , , ,67243 Locust Road ,Montrose,NULL,NULL,NULL,2019-02-11 00:00:00.0000000,ACTIVE,NO CHANGE,Montrose,0xAD100000010C088D092C5EF55AC0485F4251153F4340
1730054,085-067271-035559,NULL,-107.83345778,38.49285247,67271, , ,NULL,Locust,Road, , , ,67271 Locust Road ,Montrose,NULL,NULL,NULL,2019-02-11 00:00:00.0000000,ACTIVE,NO CHANGE,Montrose,0xAD100000010CFC85CC3257F55AC020306197153F4340
1730055,085-000116-035560,NULL,-107.86135165,38.48651814,116, , ,NULL,Rose,Lane, , , ,116 Rose Lane ,Montrose,NULL,NULL,NULL,2019-02-11 00:00:00.0000000,ACTIVE,NO CHANGE,Montrose,0xAD100000010CCC982E3620F75AC0D0883107463E4340
1730056,085-000110-035561,NULL,-107.86095299,38.48662834,110, , ,NULL,Rose,Lane, , , ,110 Rose Lane ,Montrose,NULL,NULL,NULL,2019-02-11 00:00:00.0000000,ACTIVE,NO CHANGE,Montrose,0xAD100000010CC87511AE19F75AC000F099A3493E4340
1730057,085-000126-035562,NULL,-107.85928894,38.48638245,126, , ,NULL,Rose,Lane, , , ,126 Rose Lane ,Montrose,NULL,NULL,NULL,2019-02-11 00:00:00.0000000,ACTIVE,NO CHANGE,Montrose,0xAD100000010CD84D886AFEF65AC03837FC94413E4340
1730058,085-000187-035563,NULL,-107.85863311,38.48548428,187, , ,NULL,Rose,Lane, , , ,187 Rose Lane ,Montrose,NULL,NULL,NULL,2019-02-11 00:00:00.0000000,ACTIVE,NO CHANGE,Montrose,0xAD100000010C0447C9ABF3F65AC050F18926243E4340
1730059,085-002935-035564,NULL,-107.84004683,38.49283447,2935, , ,NULL,Locust,Road, , , ,2935 Locust Road ,Montrose,NULL,NULL,NULL,2019-02-11 00:00:00.0000000,ACTIVE,NO CHANGE,Montrose,0xAD100000010CFCF04427C3F55AC080126B00153F4340
1730060,085-000128-035565,NULL,-107.85931741,38.48579612,128, , ,NULL,Rose,Lane, , , ,128 Rose Lane ,Montrose,NULL,NULL,NULL,2019-02-11 00:00:00.0000000,ACTIVE,NO CHANGE,Montrose,0xAD100000010C80F4F4E1FEF65AC0503E715E2E3E4340
1730061,085-002102-035566,NULL,-107.85501984,38.49232482,2102, , ,NULL,Locust,Road, , , ,2102 Locust Road ,Montrose,NULL,NULL,NULL,2019-02-11 00:00:00.0000000,ACTIVE,NO CHANGE,Montrose,0xAD100000010CB0DC9D78B8F65AC0F8072A4D043F4340
1730062,085-067297-035567,NULL,-107.83309096,38.49285037,67297, , ,NULL,Locust,Road, , , ,67297 Locust Road ,Montrose,NULL,NULL,NULL,2019-02-11 00:00:00.0000000,ACTIVE,NO CHANGE,Montrose,0xAD100000010C5010463051F55AC0F00FCC85153F4340
