1770026,101-002704-191694,NULL,-104.56248109,38.28183560,2704,NULL,East,NULL,15Th,Street,NULL,NULL,NULL,2704 East 15Th Street,Pueblo,81001,NULL,NULL,2019-02-05 00:00:00.0000000,ACTIVE,NO CHANGE,Pueblo,0xAD100000010CC48AAFB0FF235AC0A86C5E3013244340
1770027,101-002705-191695,NULL,-104.56235716,38.28224294,2705,NULL,East,NULL,15Th,Street,NULL,NULL,NULL,2705 East 15Th Street,Pueblo,81001,NULL,NULL,2019-02-05 00:00:00.0000000,ACTIVE,NO CHANGE,Pueblo,0xAD100000010C84DDE4A8FD235AC018AD578920244340
1770028,101-002709-191696,NULL,-104.56200200,38.28223870,2709,NULL,East,NULL,15Th,Street,NULL,NULL,NULL,2709 East 15Th Street,Pueblo,81001,NULL,NULL,2019-02-05 00:00:00.0000000,ACTIVE,NO CHANGE,Pueblo,0xAD100000010CB8F041D7F7235AC0307EC86520244340
1770029,101-002712-191697,NULL,-104.56199584,38.28183963,2712,NULL,East,NULL,15Th,Street,NULL,NULL,NULL,2712 East 15Th Street,Pueblo,81001,NULL,NULL,2019-02-05 00:00:00.0000000,ACTIVE,NO CHANGE,Pueblo,0xAD100000010CF09D6ABDF7235AC0D839335213244340
1770030,101-002714-191698,NULL,-104.56181926,38.28184117,2714,NULL,East,NULL,15Th,Street,NULL,NULL,NULL,2714 East 15Th Street,Pueblo,81001,NULL,NULL,2019-02-05 00:00:00.0000000,ACTIVE,NO CHANGE,Pueblo,0xAD100000010C6023C7D8F4235AC0480E1A5F13244340
1770031,101-002716-191699,NULL,-104.56156072,38.28184331,2716,NULL,East,NULL,15Th,Street,NULL,NULL,NULL,2716 East 15Th Street,Pueblo,81001,NULL,NULL,2019-02-05 00:00:00.0000000,ACTIVE,NO CHANGE,Pueblo,0xAD100000010C90C75F9CF0235AC0783A077113244340
1770032,101-002800-191700,NULL,-104.56104821,38.28184028,2800,NULL,East,NULL,15Th,Street,NULL,NULL,NULL,2800 East 15Th Street,Pueblo,81001,NULL,NULL,2019-02-05 00:00:00.0000000,ACTIVE,NO CHANGE,Pueblo,0xAD100000010C9848BF36E8235AC02017A75713244340
1770033,101-002801-191701,NULL,-104.56114899,38.28225304,2801,NULL,East,NULL,15Th,Street,NULL,NULL,NULL,2801 East 15Th Street,Pueblo,81001,NULL,NULL,2019-02-05 00:00:00.0000000,ACTIVE,NO CHANGE,Pueblo,0xAD100000010C6CC36FDDE9235AC0184B20DE20244340
1770034,101-002803-191702,NULL,-104.56095281,38.28225670,2803,NULL,East,NULL,15Th,Street,NULL,NULL,NULL,2803 East 15Th Street,Pueblo,81001,NULL,NULL,2019-02-05 00:00:00.0000000,ACTIVE,NO CHANGE,Pueblo,0xAD100000010C08769EA6E6235AC0D832C7FC20244340
1770035,101-002804-191703,NULL,-104.56075862,38.28184430,2804,NULL,East,NULL,15Th,Street,NULL,NULL,NULL,2804 East 15Th Street,Pueblo,81001,NULL,NULL,2019-02-05 00:00:00.0000000,ACTIVE,NO CHANGE,Pueblo,0xAD100000010C84631E78E3235AC07862577913244340
1770036,101-002809-191704,NULL,-104.56038614,38.28226416,2809,NULL,East,NULL,15Th,Street,NULL,NULL,NULL,2809 East 15Th Street,Pueblo,81001,NULL,NULL,2019-02-05 00:00:00.0000000,ACTIVE,NO CHANGE,Pueblo,0xAD100000010CFCE2D05DDD235AC0002A663B21244340
1770037,101-002832-191705,NULL,-104.55984542,38.28185576,2832,NULL,East,NULL,15Th,Street,NULL,NULL,NULL,2832 East 15Th Street,Pueblo,81001,NULL,NULL,2019-02-05 00:00:00.0000000,ACTIVE,NO CHANGE,Pueblo,0xAD100000010C8893E481D4235AC0202382D913244340
1770038,101-002836-191706,NULL,-104.55967868,38.28185867,2836,NULL,East,NULL,15Th,Street,NULL,NULL,NULL,2836 East 15Th Street,Pueblo,81001,NULL,NULL,2019-02-05 00:00:00.0000000,ACTIVE,NO CHANGE,Pueblo,0xAD100000010C54DD88C6D1235AC080B9E2F113244340
1770039,101-002839-191707,NULL,-104.55968662,38.28227322,2839,NULL,East,NULL,15Th,Street,NULL,NULL,NULL,2839 East 15Th Street,Pueblo,81001,NULL,NULL,2019-02-05 00:00:00.0000000,ACTIVE,NO CHANGE,Pueblo,0xAD100000010CA4EECFE7D1235AC030A96A8721244340
1770040,101-002841-191708,NULL,-104.55940639,38.28227713,2841,NULL,East,NULL,15Th,Street,NULL,NULL,NULL,2841 East 15Th Street,Pueblo,81001,NULL,NULL,2019-02-05 00:00:00.0000000,ACTIVE,NO CHANGE,Pueblo,0xAD100000010C88687350CD235AC028E130A821244340
1770041,101-001331-191709,NULL,-104.58778767,38.28242621,1331,NULL,East,NULL,16Th,Street,NULL,NULL,NULL,1331 East 16Th Street,Pueblo,81001,NULL,NULL,2019-02-05 00:00:00.0000000,ACTIVE,NO CHANGE,Pueblo,0xAD100000010CD80E2F509E255AC01801B98A26244340
1770042,101-001501-191710,NULL,-104.58480859,38.28251145,1501,NULL,East,NULL,16Th,Street,NULL,NULL,NULL,1501 East 16Th Street,Pueblo,81001,NULL,NULL,2019-02-05 00:00:00.0000000,ACTIVE,NO CHANGE,Pueblo,0xAD100000010CD04304816D255AC0F88AD35529244340
1770043,101-001527-191711,NULL,-104.58380814,38.28260954,1527,NULL,East,NULL,16Th,Street,NULL,NULL,NULL,1527 East 16Th Street,Pueblo,81001,NULL,NULL,2019-02-05 00:00:00.0000000,ACTIVE,NO CHANGE,Pueblo,0xAD100000010C6CE3CD1C5D255AC0805CAC8C2C244340
1770044,101-001531-191712,NULL,-104.58360584,38.28261586,1531,NULL,East,NULL,16Th,Street,NULL,NULL,NULL,1531 East 16Th Street,Pueblo,81001,NULL,NULL,2019-02-05 00:00:00.0000000,ACTIVE,NO CHANGE,Pueblo,0xAD100000010CF8D74ACC59255AC0009BB2C12C244340
1770045,101-001725-191713,NULL,-104.57989000,38.28273000,1725,NULL,East,NULL,16Th,Street,NULL,NULL,NULL,1725 East 16Th Street,Pueblo,81001,NULL,NULL,2019-02-05 00:00:00.0000000,ACTIVE,NO CHANGE,Pueblo,0xAD100000010CC051F2EA1C255AC098CC237F30244340
