"1420069","-107.81036288","37.62357571","360",""," ","","Engineer","Drive","",""," ","360 Engineer Drive ","","","La Plata"
"1420070","-107.81023805","37.62384717","386",""," ","","Engineer","Drive","",""," ","386 Engineer Drive ","","","La Plata"
"1420071","-107.81003574","37.62409642","408",""," ","","Engineer","Drive","",""," ","408 Engineer Drive ","","","La Plata"
"1420072","-107.81074707","37.62410809","407",""," ","","Engineer","Drive","",""," ","407 Engineer Drive ","","","La Plata"
"1420073","-107.80979228","37.6243026","424",""," ","","Engineer","Drive","",""," ","424 Engineer Drive ","","","La Plata"
"1420074","-107.80967132","37.62452104","440",""," ","","Engineer","Drive","",""," ","440 Engineer Drive ","","","La Plata"
"1420075","-107.81041201","37.62460423","435",""," ","","Engineer","Drive","",""," ","435 Engineer Drive ","","","La Plata"
"1420076","-107.80960326","37.62482221","456",""," ","","Engineer","Drive","",""," ","456 Engineer Drive ","","","La Plata"
"1420077","-107.81037992","37.6248476","465",""," ","","Engineer","Drive","",""," ","465 Engineer Drive ","","","La Plata"
"1420078","-107.80967211","37.62517107","474",""," ","","Engineer","Drive","",""," ","474 Engineer Drive ","","","La Plata"
"1420079","-107.81028926","37.6252606","487",""," ","","Engineer","Drive","",""," ","487 Engineer Drive ","","","La Plata"
"1420080","-107.81435511","37.6253348","19",""," ","","Double Diamond","Drive","",""," ","19 Double Diamond Drive ","","","La Plata"
"1420081","-107.8573271","37.21158148","11236",""," ","Cr","213"," ","",""," ","11236 Cr 213 ","","","La Plata"
"1420082","-107.85806822","37.21166439","11236",""," ","Cr","213"," ","",""," ","11236 Cr 213 ","","","La Plata"
"1420083","-107.80727811","37.23020373","803",""," ","Cr","233"," ","",""," ","803 Cr 233 ","","","La Plata"
"1420084","-107.76497088","37.23500419","408",""," ","Cr","230"," ","",""," ","408 Cr 230 ","","","La Plata"
"1420085","-107.78627247","37.24235111","866",""," ","Cr","229"," ","",""," ","866 Cr 229 ","","","La Plata"
"1420086","-107.77804919","37.25292611","1533",""," ","Cr","228"," ","",""," ","1533 Cr 228 ","","","La Plata"
"1420087","-107.90427194","37.2759518","878",""," ","Cr","206"," ","",""," ","878 Cr 206 ","","","La Plata"
"1420088","-107.84944589","37.29919506","121",""," ","Cr","250"," ","",""," ","121 Cr 250 ","","","La Plata"
"1420089","-107.84902149","37.29932519","125",""," ","Cr","250"," ","",""," ","125 Cr 250 ","","","La Plata"
"1420090","-107.84888299","37.2993656","137",""," ","Cr","250"," ","",""," ","137 Cr 250 ","","","La Plata"
"1420091","-107.84386011","37.29979345","1685",""," ","","Florida","Road","",""," ","1685 Florida Road ","","","La Plata"
"1420092","-107.84810283","37.30058297","251",""," ","Cr","250"," ","",""," ","251 Cr 250 ","","","La Plata"
"1420093","-107.81542069","37.30900747","4093",""," ","Cr","240"," ","",""," ","4093 Cr 240 ","","","La Plata"
"1420094","-107.84386265","37.34738145","3905",""," ","Cr","250"," ","",""," ","3905 Cr 250 ","","","La Plata"
"1420095","-107.85940408","37.22266461","1309",""," ","","Escalante","Drive","",""," ","1309 Escalante Drive ","","","La Plata"
"1420096","-107.86038717","37.22309014","1305",""," ","","Escalante","Drive","",""," ","1305 Escalante Drive ","","","La Plata"
"1420097","-107.86113705","37.22347368","1295",""," ","","Escalante","Drive","","Unit","13","1295 Escalante Drive Unit 13","","","La Plata"
"1420098","-107.86095175","37.22348018","1295",""," ","","Escalante","Drive","","Unit","15","1295 Escalante Drive Unit 15","","","La Plata"
"1420099","-107.86090377","37.22348389","1295",""," ","","Escalante","Drive","","Unit","16","1295 Escalante Drive Unit 16","","","La Plata"
"1420100","-107.86085245","37.22349077","1295",""," ","","Escalante","Drive","","Unit","17","1295 Escalante Drive Unit 17","","","La Plata"
"1420101","-107.86079752","37.22349188","1295",""," ","","Escalante","Drive","","Unit","18","1295 Escalante Drive Unit 18","","","La Plata"
"1420102","-107.86118643","37.22348711","1295",""," ","","Escalante","Drive","","Unit","12","1295 Escalante Drive Unit 12","","","La Plata"
"1420103","-107.86125737","37.22350319","1295",""," ","","Escalante","Drive","","Unit","11","1295 Escalante Drive Unit 11","","","La Plata"
"1420104","-107.86069378","37.22352488","1295",""," ","","Escalante","Drive","","Unit","19","1295 Escalante Drive Unit 19","","","La Plata"
"1420105","-107.86064694","37.22353751","1295",""," ","","Escalante","Drive","","Unit","20","1295 Escalante Drive Unit 20","","","La Plata"
"1420106","-107.86059591","37.2235533","1295",""," ","","Escalante","Drive","","Unit","21","1295 Escalante Drive Unit 21","","","La Plata"
"1420107","-107.86054497","37.22357185","1295",""," ","","Escalante","Drive","","Unit","22","1295 Escalante Drive Unit 22","","","La Plata"
"1420108","-107.86048639","37.22359364","1295",""," ","","Escalante","Drive","","Unit","23","1295 Escalante Drive Unit 23","","","La Plata"
"1420109","-107.86181878","37.22376588","1295",""," ","","Escalante","Drive","","Unit","1","1295 Escalante Drive Unit 1","","","La Plata"
"1420110","-107.86140424","37.22391094","1295",""," ","","Escalante","Drive","","Unit","24","1295 Escalante Drive Unit 24","","","La Plata"
"1420111","-107.8613494","37.22391479","1295",""," ","","Escalante","Drive","","Unit","25","1295 Escalante Drive Unit 25","","","La Plata"
"1420112","-107.86129379","37.22392175","1295",""," ","","Escalante","Drive","","Unit","26","1295 Escalante Drive Unit 26","","","La Plata"
"1420113","-107.86124267","37.22393481","1295",""," ","","Escalante","Drive","","Unit","27","1295 Escalante Drive Unit 27","","","La Plata"
"1420114","-107.8607355","37.22394815","1295",""," ","","Escalante","Drive","","Unit","35","1295 Escalante Drive Unit 35","","","La Plata"
"1420115","-107.86109781","37.22394392","1295",""," ","","Escalante","Drive","","Unit","29","1295 Escalante Drive Unit 29","","","La Plata"
"1420116","-107.8608824","37.22394896","1295",""," ","","Escalante","Drive","","Unit","33","1295 Escalante Drive Unit 33","","","La Plata"
