"1660080","-108.56438301","39.0496073","1716"," "," "," ","Dolores","Street"," ",""," ","1716 Dolores Street ","Grand Junction","81503","Mesa"
"1660081","-108.56261342","39.04985163","653"," "," "," ","Santa Clara","Avenue"," ",""," ","653 Santa Clara Avenue ","Grand Junction","81503","Mesa"
"1660082","-108.56257839","39.04965113","1725"," "," "," ","Escalante","Street"," ",""," ","1725 Escalante Street ","Grand Junction","81503","Mesa"
"1660083","-108.55650305","39.049709","1141"," "," "," ","Santa Clara","Avenue"," ",""," ","1141 Santa Clara Avenue ","Grand Junction","81503","Mesa"
"1660084","-108.55684301","39.04979343","1105"," "," "," ","Santa Clara","Avenue"," ",""," ","1105 Santa Clara Avenue ","Grand Junction","81503","Mesa"
"1660085","-108.55670376","39.04870401","2676"," "," "," ","Unaweep","Avenue"," ",""," ","2676 Unaweep Avenue ","Grand Junction","81503","Mesa"
"1660086","-108.55283096","39.04865923","2696"," "," "," ","Unaweep","Avenue"," ",""," ","2696 Unaweep Avenue ","Grand Junction","81503","Mesa"
"1660087","-108.55924636","39.05556462","805"," "," "," ","Struthers","Avenue"," ",""," ","805 Struthers Avenue ","Grand Junction","81501","Mesa"
"1660088","-108.55263176","39.05004856","1195"," "," "," ","Santa Clara","Avenue"," ",""," ","1195 Santa Clara Avenue ","Grand Junction","81503","Mesa"
"1660089","-108.55732807","39.04942252","1736"," "," "," ","Roubideau","Street"," ",""," ","1736 Roubideau Street ","Grand Junction","81503","Mesa"
"1660090","-108.56058034","39.05529738","709"," "," "," ","Struthers","Avenue"," ",""," ","709 Struthers Avenue ","Grand Junction","81501","Mesa"
"1660091","-108.55442707","39.05100999","1640"," "," "," ","River","Circle"," ",""," ","1640 River Circle ","Grand Junction","81503","Mesa"
"1660092","-108.55899021","39.05470945","821"," "," "," ","Struthers","Avenue"," ",""," ","821 Struthers Avenue ","Grand Junction","81501","Mesa"
"1660093","-108.56116594","39.05546723","661"," "," "," ","Struthers","Avenue"," ",""," ","661 Struthers Avenue ","Grand Junction","81501","Mesa"
